приоритет,slug,заведение,район,показы_90д,позиция,гиды,why_its_here_В_БАЗЕ_СЕЙЧАС,best_for_В_БАЗЕ_СЕЙЧАС,часы_проверенные,сайт,instagram,источник_есть,НОВОЕ_why_its_here,НОВОЕ_best_for,НОВОЕ_not_for,НОВОЕ_price_anchor,НОВОЕ_what_to_order,источник_факта,проверено_дата
11,nui-da-mano-beachfront-restaurant-in-batu-belig,Nui da Mano - Beachfront Restaurant in Batu Belig,Seminyak,3,9,/best-restaurants-in-bali; /seminyak/best-restaurants,"Restaurant in Pantai Jl. Batu Belig, Seminyak, open daily 7:00am-10:00pm.",Travellers looking for a current place to eat in Seminyak.,,https://nuidamano.com/,,да,,,,,,,
12,terrace-sanur-the-1o1-bali-oasis-sanur,Terrace Sanur (The 1O1 Bali Oasis Sanur),Sanur,3,21,/best-restaurants-in-bali; /sanur/best-restaurants,Restaurant on Jalan Danau Tamblingan No. 136 A in Sanur.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
13,urban-seaside-restaurant-and-bar,Urban Seaside restaurant & bar,Nusa Dua,3,28,/best-restaurants-in-bali; /nusa-dua/best-restaurants,"Restaurant on Jalan segara samuh in Nusa Dua, open daily 8:00am-11:00pm.",Travellers looking for a current place to eat in Nusa Dua.,,https://urbanbitesbali.com/nusa-dua,https://www.instagram.com/urban.seaside/,да,,,,,,,
14,chamas-brazilian-churrascaria-at-kuta,Chamas Brazilian Churrascaria at Kuta,Kuta & Legian,3,10,/bali/kuta-legian,"Restaurant on Jl. Setia Budi in Kuta Legian, open daily 12:00-10:00pm.",Travellers looking for a current place to eat in Kuta.,,https://balibitescomplex.com/,,да,,,,,,,
15,nusantara,Nusantara,tabanan,3,12.7,/places,Restaurant on Jalan Pantai Nyanyi in Tabanan.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
16,beer-brothers,Beer Brothers,Sanur,2,10.5,/best-cafes-in-bali; /collections/brunch-and-breakfast; /sanur/cafes-and-bars,Cafe on Jalan Matahari Terbit in Sanur.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
17,afterglow-bar-and-kitchen-at-tribe-bali-kuta-beach,Afterglow Bar and Kitchen at Tribe Bali Kuta Beach,Kuta & Legian,2,29,/bali/kuta-legian; /places,Restaurant on Jl. Pantai Kuta No.99 in Kuta Legian.,Travellers looking for a current place to eat in Kuta.,,https://tribehotels.com/en/indonesia/bali-kuta-beach/afterglow/,,да,,,,,,,
18,chez-gado-gado-restaurant,Chez Gado Gado Restaurant,Seminyak,2,35,/best-restaurants-in-bali; /seminyak/best-restaurants,"Restaurant on Jl. Camplung Tanduk No.99 in Seminyak, open daily 11:00am-12:00am.",Travellers looking for a current place to eat in Seminyak.,,https://www.chezgadogado.com/,https://instagram.com/chezgadogado,да,,,,,,,
19,d-made-restaurant-the-kalyana-ubud-resort,D'Made Restaurant (The Kalyana Ubud Resort),Ubud,2,8,/best-restaurants-in-bali; /ubud/best-restaurants,Restaurant on Jalan Cempaka No. 1 in Ubud.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
20,flow-restaurant-sumitra-luxury-villas-and-resort,Flow Restaurant (Sumitra Luxury Villas and Resort),Sanur,2,9,/best-restaurants-in-bali; /sanur/best-restaurants,Restaurant on Jalan Tirta Empul in Sanur.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
21,laddu-restaurant-the-sankara-suites-and-villas,Laddu Restaurant (The Sankara Suites and Villas),Ubud,2,10,/best-restaurants-in-bali; /ubud/best-restaurants,"Restaurant in The Sankara Suites and Villas Jalan Sri Wedari, Ubud.",Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
22,opia-bali,Opia Bali,Jimbaran,2,23.5,/best-restaurants-in-bali; /jimbaran/best-restaurants,"Restaurant on Jl. Bukit Permai No.2 in Jimbaran, open daily 5:00-11:00pm.",Travellers looking for a current place to eat in Jimbaran.,,https://cho.pe/Opiabali,,да,,,,,,,
23,takk-bali,TAKK Bali,Seminyak,2,9,/best-restaurants-in-bali; /seminyak/best-restaurants,Restaurant on Jl. Petitenget No.12b in Seminyak.,Travellers looking for a current place to eat in Seminyak.,,http://www.takk-restaurant.com/,https://www.instagram.com/takk.bali/,да,,,,,,,
24,the-junction-house-cafe-and-restaurant-seminyak,The Junction House - Cafe & Restaurant Seminyak,Seminyak,2,14,/best-restaurants-in-bali; /seminyak/best-restaurants,"Restaurant on Jl. Kayu Cendana in Seminyak, open daily 7:30am-11:00pm.",Travellers looking for a current place to eat in Seminyak.,,https://thejunctionhousebali.com/,https://www.instagram.com/thejunctionhouse/,да,,,,,,,
25,jen-deli-restaurant-and-la-fortuna-bar-at-sense-canggu-beach-hotel,Jen Deli Restaurant and La Fortuna Bar at Sense Canggu Beach Hotel,Canggu,2,3.5,/best-restaurants-in-bali,"Restaurant on Jl. Munduk Kedungu No.55s in Canggu, open daily 7:00am-11:00pm.",Travellers looking for a current place to eat in Canggu; Pererenan.,,http://www.sensecanggubeach.com/,,да,,,,,,,
26,rasa-kitchen,Rasa Kitchen,Canggu,2,9.5,/best-restaurants-in-bali,"Restaurant on Jl. Canggu Padang Linjong No.80A, open daily 10:00am-11:00pm.",Travellers looking for a current place to eat in Canggu.,,http://www.rasakitchen.co/,,да,,,,,,,
27,anarasa-at-movenpick-resort,Anarasa at Mövenpick Resort,Jimbaran,1,16,/best-restaurants-in-bali; /jimbaran; /jimbaran/best-restaurants,Restaurant on Jl. Wanagiri No.1 in Jimbaran.,Travellers looking for a current place to eat in Jimbaran.,,https://movenpick.accor.com/en/asia/indonesia/bali/jimbaran-bali.html,,да,,,,,,,
28,noi-bali-grill-and-hanging-out,Noi Bali Grill and Hanging Out,Seminyak,1,27,/best-cafes-in-bali; /collections/brunch-and-breakfast; /seminyak/cafes-coffee,Cafe on Jalan Raya Kedampang in Seminyak.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
29,takumi-japanese-fine-dining,Takumi 匠 Japanese Fine Dining,Seminyak,1,38,/best-restaurants-in-bali; /collections/japanese; /seminyak/best-restaurants,"Restaurant on Jl. Petitenget No.43A in Seminyak, open daily 11:00am-12:00am.",Travellers looking for a current place to eat in Seminyak.,,http://takumibali.com/,,да,,,,,,,
30,asai-cafe,ASAI Cafe,Jimbaran,1,13,/best-restaurants-in-bali; /jimbaran/best-restaurants,"Restaurant on Jl. Pura Sekaang in Jimbaran, open daily 7:00am-10:00pm.",Travellers looking for a current place to eat in Jimbaran.,,https://cafelink.asaivillage.com/,https://www.instagram.com/asai_cafe_bali/,да,,,,,,,
31,bar-rasa,BAR RASA,Seminyak,1,7,/best-restaurants-in-bali; /seminyak/best-restaurants,Restaurant on Jalan Lebak Sari in Seminyak.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
32,chatwood-coffee-and-eatery,Chatwood Coffee and Eatery,Jimbaran,1,59,/best-restaurants-in-bali; /jimbaran/best-restaurants,Restaurant on Jalan Bypass Ngurah Rai No.777 in Jimbaran.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
33,eko-cafe-by-deli-campur-asia,Eko Cafe by Deli Campur Asia,Seminyak,1,16,/best-restaurants-in-bali; /seminyak/best-restaurants,Restaurant on Jl. Bumbak Dauh No.89x in Seminyak.,Travellers looking for a current place to eat in Seminyak.,,http://www.ekocafebali.com/,,да,,,,,,,
34,grain-at-hilton-bali-resort,Grain at Hilton Bali Resort,Nusa Dua,1,10,/best-restaurants-in-bali; /nusa-dua/best-restaurants,Restaurant on Jl. Raya Nusa Dua Selatan.,Travellers looking for a current place to eat in Nusa Dua.,,https://www.hilton.com/en/hotels/dpsbahi-hilton-bali-resort/,,да,,,,,,,
35,homaya-restaurant-merusaka-nusa-dua,Homaya Restaurant (Merusaka Nusa Dua),Nusa Dua,1,11,/best-restaurants-in-bali; /nusa-dua/best-restaurants,"Restaurant in Merusaka Nusa Dua, Nusa Dua.",Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
36,kudus-house-at-como-shambhala-estate,Kudus House at COMO Shambhala Estate,Ubud,1,29,/best-restaurants-in-bali; /ubud/best-restaurants,"Restaurant in Banjar Begawan, Ubud.",Travellers looking for a current place to eat in Ubud.,,https://www.comohotels.com/bali/como-shambhala-estate,https://www.instagram.com/comoshambhalaestate/,да,,,,,,,
37,livingstone,Livingstone,Seminyak,1,10,/best-restaurants-in-bali; /seminyak/best-restaurants,"Restaurant in Seminyak, open daily 7:00am-10:00pm.",Travellers looking for a current place to eat in Seminyak.,,,https://www.instagram.com/livingstonebakery/,да,,,,,,,
38,nautilus,Nautilus,Ubud,1,6,/best-restaurants-in-bali; /ubud/best-restaurants,"Restaurant on Jl. Suweta No.80 in Ubud, open daily 3:00-11:00pm.",Travellers looking for a current place to eat in Ubud.,Mo-Su 15:00-18:00,http://nautilusubud.com/,,да,,,,,,,
39,oswego-bali,Oswego Bali,Seminyak,1,15,/best-restaurants-in-bali; /seminyak/best-restaurants,"Restaurant on Jl. Kunti I No.118X in Seminyak, open daily 7:00am-10:30pm.",Travellers looking for a current place to eat in Seminyak.,,https://www.impianaseminyak.com/dining/oswego-bali-bar-dining-restaurant/,,да,,,,,,,
40,rosalita-s-cantina-bali,Rosalita's Cantina Bali,Seminyak,1,37,/best-restaurants-in-bali; /seminyak/best-restaurants,Restaurant on Jalan Kayu Aya 100 in Seminyak.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
41,south-east-brewing-co,South+East Brewing Co.,Seminyak,1,26,/best-restaurants-in-bali; /seminyak/best-restaurants,"Restaurant on Jl. Pengubengan Kauh in Seminyak, open daily 7:00am-12:00am.",Travellers looking for a current place to eat in Seminyak.,,http://www.southeastbrewing.co/,https://instagram.com/southeastbrewing,да,,,,,,,
42,sugarsand,SugarSand,Seminyak,1,8,/best-restaurants-in-bali; /seminyak/best-restaurants,Restaurant on Jalan Camplung Tanduk No. 10 in Seminyak.,Travellers who want to check availability and reserve a table through Chope.,,,,НЕТ — писать нечем,,,,,,,
43,the-royal-kitchen-sanur,The Royal Kitchen sanur,Sanur,1,13,/best-restaurants-in-bali; /sanur/best-restaurants,Restaurant on Jl. Danau Tamblingan No.n27 1st Floor in Sanur.,Travellers looking for a current place to eat in Sanur.,,https://www.theroyalkitchen.id/,,да,,,,,,,
44,yen-social-bali,Yen Social Bali,Canggu,1,11,/best-restaurants-in-bali,Restaurant on Jl. Tegal Sari No.5 in Canggu.,Travellers looking for a current place to eat in Canggu.,,,https://www.instagram.com/yen_socialbali/,да,,,,,,,
