STATUS,priority,district,venue,product,what_to_verify,current_value_we_have,how_to_check,CONFIRMED_value,CONFIRMED_by,date
✅ VERIFIED Jul-2026,P3,Canggu,Atlas Beach Fest,Atlas Beach Club,Re-confirm the current price at source.,"entry IDR 100,000 [BLOG]; seat min-spend 500k-1.5M standard, VIP 2-9M, VVIP 4-15M [OFFICIAL reseller]",own site + Klook + GetYourGuide,CONFIRMED: paid entry ~IDR100–150k (non-redeemable); seat min from ~500k redeemable,explorethebali Nov-2025 + trvlogue 2026,2026-07-19
,P3,Canggu,COMO Uma Canggu (COMO Beach Club),COMO Beach Club (a la carte),Re-confirm the current price at source.,"daybed min-spend ~IDR 500,000 [BLOG]; official no seat price",Chope/WhatsApp,,,
✅ VERIFIED Jul-2026,P3,Canggu,FINNS,FINNS Beach Club (general/daybeds),Re-confirm the current price at source.,"no entry, NO official min-spend [OFFICIAL]; premium loungers ~2.5-3.2M before 1pm [BLOG]",bookings.finnsbeachclub.com ONLY,CONFIRMED: free entry + general seating no min; reserved daybeds carry min ~IDR1.1M+ (redeemable),finnsbeachclub.com FAQ 2026,2026-07-19
,P3,Canggu,MASONRY,MASONRY Grill & Bar,Re-confirm the current price at source.,"large plates from IDR 140,000++ [BLOG]",WhatsApp,,,
,P3,Canggu,Numero Quattro,Numero Quattro,Re-confirm the current price at source.,"mains from IDR 135,000++ [BLOG]",E-Restaurants,,,
,P3,Canggu,Penny Lane,Penny Lane,Re-confirm the current price at source.,"~IDR 300,000/pax [BLOG]",Chope,,,
,P3,Canggu,Shelter,Shelter Pererenan,Re-confirm the current price at source.,"mains from IDR 110,000++ [BLOG]",SevenRooms,,,
✅ VERIFIED Jul-2026,P3,Canggu,The Lawn,The Lawn Canggu,Re-confirm the current price at source.,no entry; min-spend chairs/beanbags 350k/pax; sofa 1M; daybeds 2.5M/table [BLOG],projectblack.co/WhatsApp,CONFIRMED: no entry; free lounge seating; reserved chairs ~350k / daybed ~2.5M,elsky Jun-2026,2026-07-19
,P3,Jimbaran,AYANA Resort (Dava),Dava Restaurant,Re-confirm the current price at source.,"3-course set IDR 865,000 [BLOG]",hotel/TableCheck,,,
,P3,Jimbaran,AYANA Resort (Rock Bar),Rock Bar,Re-confirm the current price at source.,min-spend by seat: Counter 300k; Tapas 350k; Dinner 550k; Daybed 1M/seat; Sofa 4.5M/seat [BLOG],TableCheck,,,
,P3,Jimbaran,Four Seasons Jimbaran (Sundara),Sundara Beach Club — Daybed,Price is stale/legacy — get the current one.,"IDR 2,500,000++ /daybed (2 pax); +1,000,000++ extra [OFFICIAL]",hotel form/WhatsApp/Klook,,,
,P3,Jimbaran,InterContinental Bali Resort,Sunday Brunch + pool (Silver/Gold/Platinum),Re-confirm the current price at source.,"Silver 650k++; Gold 995k++; Platinum 1,195k++ [BLOG]",direct,,,
,P3,Nusa Dua,Ayodya Resort Bali,Day Pass,Re-confirm the current price at source.,"IDR 150,000 net/adult; child 75,000 [BLOG]",WhatsApp/official (direct),,,
,P3,Nusa Dua,CANNA Nusa Dua (standalone day club),Daybed min-spend seating,Re-confirm the current price at source.,"Deck Daybed from IDR 550,000 min-spend(1)/1,000,000(2); Pool Deck 850,000(1)/1,500,000(2); Sands Cabana 2,000,000(4) ++ [BLOG]",TableCheck + Klook/GYG/Traveloka,,,
,P3,Nusa Dua,Club Med Bali,All-Inclusive Day Pass,Re-confirm the current price at source.,Day AUD 127.85 adult; Day+Eve AUD 213.09; ~IDR 1.26-1.57M/adult [BLOG],Klook (channel taken); passport required,,,
,P3,Nusa Dua,Hilton Bali Resort,A Day in Paradise (day-use pkg),Re-confirm the current price at source.,"IDR 1,700,000 (~USD 107) [BLOG]",direct Tour Desk,,,
,P3,Nusa Dua,Merusaka Nusa Dua (ex-INAYA Putri Bali),Pool Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 200,000 net/person; <5 free [BLOG]",WhatsApp (direct),,,
,P3,Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Beach & Pool Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 450,000 net/adult; child 6-12 225,000; <6 free [BLOG]",direct/WhatsApp (not on DayPass),,,
,P3,Nusa Dua,Paradisus by Melia Bali (ex-Melia Bali),Pool & Beach Day Pass,Re-confirm the current price at source.,"IDR 500,000/adult tax incl; kids 0-11 50% [BLOG]",DayPass app / Megatix / direct,,,
✅ VERIFIED Jul-2026,P3,Nusa Dua,Sofitel Bali Nusa Dua,Day Escape (day pass),Re-confirm the current price at source.,"IDR 350,000 [BLOG/DayPass]",DayPass app,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
✅ VERIFIED Jul-2026,P3,Nusa Dua,Sofitel Bali Nusa Dua,Culinary Escape (day pass),Re-confirm the current price at source.,"IDR 550,000 [BLOG/DayPass]",DayPass app,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
