district,resort,venue_or_product,star,product_type,product_type_norm,price,monetize,booking_channel,audience,whats_included,hours,honest_note,source,accessed
Canggu,Zai Cafe,Zai Cafe,na,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,cafezai.com (NowBookIt),nomads/AU-couples,Mediterranean/Middle-Eastern,[NO DATA],book via own site,cafezai.com/reservation,2026-07-19
Jimbaran,Four Seasons Jimbaran (Sundara),Sundara Beach Club — Daybed,5,day_pass,day_pass,"IDR 2,500,000++ /daybed (2 pax); +1,000,000++ extra [OFFICIAL]",COVERAGE,hotel form/WhatsApp/Klook,couples/luxury,"F&B credit, 57m pool, WiFi, towels",09:00-22:00,Official price 2x the legacy blog figure; book direct,sundarabali.com/beach-club,2026-07-19
Jimbaran,Four Seasons Jimbaran (Sundara),Sundara Sunday Pink Brunch,5,brunch,brunch,"IDR 1,250,000/adult; teen 625,000; free-flow alcohol from 780,000 [OFFICIAL]",SEATED,hotel form/email,couples/luxury,"seafood platter, a la carte, free-flow water/juice",Sun 11:30-15:00,pool/daybed access not guaranteed with brunch,sundarabali.com/menu/sunday-brunch,2026-07-19
Jimbaran,Four Seasons Jimbaran (Sundara),Sundara Day Pass (Klook),5,day_pass,day_pass,from US$46.95; 3-course lunch US$42.99 [OFFICIAL],COVERAGE,Klook,families/couples,beachfront dining + beach access,select date,"dining-led, not same as daybed rental",klook.com/activity/54271,2026-07-19
Jimbaran,AYANA Resort (Rock Bar),Rock Bar,5,resort_restaurant,resort_restaurant,min-spend by seat: Counter 300k; Tapas 350k; Dinner 550k; Daybed 1M/seat; Sofa 4.5M/seat [BLOG],SEATED,TableCheck,sunset/couples,clifftop bar 14m above sea; min-spend redeemable,16:00-24:00,sunset 16-17 guests-only; non-guests routed 19:30+,tablecheck ayana rockbar,2026-07-19
Jimbaran,AYANA Resort (Kisik),Kisik Lounge & Seafood,5,resort_restaurant,resort_restaurant,[NO DATA] premium cliffside seafood,SEATED,TableCheck/Chope,couples/seafood,pick-your-seafood grill on lava rock,opens 17:30,front-row sunset seats scarce,tablecheck ayana kisik,2026-07-19
Jimbaran,AYANA Resort (Dava),Dava Restaurant,5,resort_restaurant,resort_restaurant,"3-course set IDR 865,000 [BLOG]",SEATED,hotel/TableCheck,fine-dining/couples,"Argentine grill, Peruvian chef (rebranded Oct 2025)",dinner,open to non-villa guests,notquitenigella.com ayana,2026-07-19
Jimbaran,AYANA Resort,pool/beach day pass,5,day_pass,day_pass,N/A — no day pass sold [OFFICIAL],COVERAGE,—,—,—,—,all AYANA pools/beaches guests-only; access only via dining reservation,rollingalongwithkids.com,2026-07-19
Jimbaran,RIMBA by AYANA (UNIQUE),UNIQUE Rooftop Bar & Restaurant,5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,TableCheck/Chope,couples/sunset/groups,"rooftop sunset dining, bay views",lunch & dinner,RIMBA is MICHELIN Guide hotel; verify min-spend direct,tablecheck ayana unique,2026-07-19
Jimbaran,InterContinental Bali Resort,Bale Kambang / pool day pass,5,day_pass,day_pass,"Rp 500,000 (incl 250,000 F&B/spa credit) [BLOG]",COVERAGE,hotel/concierge,families/couples,"lounger/umbrella, oceanfront pool, tennis, gym, spa access",[NO DATA],everyday day pass; verify direct (official page SSL error),thebeatbali.com,2026-07-19
Jimbaran,InterContinental Bali Resort,Sunday Brunch + pool (Silver/Gold/Platinum),5,brunch,brunch,"Silver 650k++; Gold 995k++; Platinum 1,195k++ [BLOG]",SEATED,direct,families/brunch,food + free-flow (varies by tier) + pool access,Sun 12:00-16:00,distinct from everyday day pass; bundles brunch+pool,rollingalongwithkids.com,2026-07-19
Jimbaran,InterContinental Bali Resort,Sunset Beach Bar & Grill,5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,TableCheck,couples/sunset,"grilled/comfort food, beachfront, live music",11:00-23:00,non-guests via reservation,bali.intercontinental.com/dining,2026-07-19
Jimbaran,InterContinental Bali Resort,KO Japanese,5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,TableCheck,couples/groups,"teppanyaki, sushi; weekly Izakaya Night",lunch 12-15; dinner 18:30-23,non-guests via TableCheck,bali.intercontinental.com/dining,2026-07-19
Jimbaran,Movenpick Jimbaran,International Sunday Brunch (Anarasa),5,brunch,brunch,"adult IDR 700,000++; kids 350,000++; free-flow +450,000++ [BLOG]",SEATED,email/WhatsApp,families/brunch,AYCE a la carte brunch + jacuzzi & pool access,Sun 11:00-17:00,brunch doubles as day-use (pool+jacuzzi),rollingalongwithkids.com,2026-07-19
Jimbaran,Belmond Jimbaran Puri,Nelayan Restaurant & Puri Bar,5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,Chope/hotel,couples/luxury/seafood,Mediterranean + grilled seafood; beach BBQ,lunch & dinner,non-guests reserve via Chope; beachfront,belmond.com jimbaran-puri dining,2026-07-19
Jimbaran,Le Meridien Bali Jimbaran,Pool Day Pass (Pool Ritual),5,day_pass,day_pass,US$20.05 [OFFICIAL],COVERAGE,Klook,budget-luxury/families,"all-day pool, lounge, towels, facilities",[NO DATA],best-value 5-star pool pass; instant confirmation,klook.com/activity/151395,2026-07-19
Jimbaran,Vivara Bali,Pool Day Experience,4,day_pass,day_pass,"from IDR 211,750; Rejuvenation from 695,750 [OFFICIAL]",COVERAGE,DayPass app,budget-luxury/couples,pool + amenities (spa in Rejuvenation),[NO DATA],only Jimbaran property live on DayPass,book.daypassapp.com/jimbaran,2026-07-19
Jimbaran,Menega Cafe,Grilled seafood on sand,na,resort_restaurant,resort_restaurant,[NO DATA]; scene benchmark Rp 200-500k/pax,SEATED,WhatsApp/walk-in,couples/groups/sunset,"pick-from-counter grilled seafood, tables on sand",~11:00-21:30,OG Jimbaran seafood; arrive 16:30-17:00 for front-row,menega-cafe.wheree.com,2026-07-19
Jimbaran,Bawang Merah,Seafood packages,na,resort_restaurant,resort_restaurant,"Mini 280k; Basket 400k; Lobster 700k; sets 1,150k-2,625k ++ [OFFICIAL]",SEATED,WhatsApp/Chope/walk-in,families/groups,"set packages incl soup, grilled fish/prawns/crab, rice, dessert",12:00-22:00,best-documented seafood pricing; arrive before 17:30,jimbaranbayrestaurant.com/seafood-packages,2026-07-19
Jimbaran,Teba Cafe,Seafood dining & sunset,na,resort_restaurant,resort_restaurant,Silver US$12.67; Gold (lobster) US$26.02 [OFFICIAL],SEATED,Pelago/WhatsApp/walk-in,couples/budget/groups,set dining package,10:00-22:00,cheapest bookable seafood set,pelago.com teba-cafe,2026-07-19
Jimbaran,Kampoeng Seafood,Grilled seafood on sand,na,resort_restaurant,resort_restaurant,[NO DATA]; benchmark Rp 250-500k/pax,SEATED,WhatsApp/walk-in,families/groups,"pick-from-counter grilled seafood, beach tables",[NO DATA],larger Kedonganan-strip venue,water-sports-bali.com,2026-07-19
Nusa Dua,The Mulia & Mulia Resort,Day pass (pool/beach),5,day_pass,day_pass,[NO DATA],COVERAGE,Not on DayPass/Klook (effectively direct-only),luxury/honeymoon/couples,No public day-pass product found,[NO DATA],No priced day pass on any aggregator; ad-hoc pool pass only,book.daypassapp.com nusa-dua,2026-07-19
Nusa Dua,The Mulia & Mulia Resort,Soleil Sunday Brunch,5,brunch,brunch,"IDR 1,136,190 nett/adult; kids 6-11 482,790; <6 free [BLOG]",SEATED,EatApp; direct email/WhatsApp,luxury/families/couples/CN,"Mediterranean/Pan-Asian buffet, live grill, seafood bar; free-flow soft drinks",Sun 11:00-15:00,Price blog-sourced (Honeycombers Apr 2026); official hides price,honeycombers brunch,2026-07-19
Nusa Dua,The Mulia & Mulia Resort,Soleil (signature),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,EatApp + direct,luxury/couples/honeymoon,signature beachfront fine dining,daily,non-guest via EatApp,themulia.com soleil,2026-07-19
Nusa Dua,The Mulia & Mulia Resort,Table8 (Cantonese/Szechuan),5,resort_restaurant,resort_restaurant,a la carte/dim sum [NO DATA],SEATED,Chope + direct,luxury/CN/families,"Imperial Chinese, dim sum, weekend lunch buffet",daily lunch/dinner,non-guest via Chope,chope.co table8-bali,2026-07-19
Nusa Dua,The St. Regis Bali,Day pass,5,day_pass,day_pass,[NO DATA],COVERAGE,not offered,luxury/honeymoon,not offered; dining/spa access only,n/a,no day pass,rollingalongwithkids.com,2026-07-19
Nusa Dua,The St. Regis Bali,Kayuputi Saturday Brunch,5,brunch,brunch,"IDR 1,250,000 net food; +bev 1,650,000; +champagne 2,750,000 [OFFICIAL]",SEATED,SevenRooms,luxury/couples/honeymoon/expats,a la carte pass-around brunch,Sat 11:00-15:00,official kayuputibali.com,kayuputibali.com specials,2026-07-19
Nusa Dua,The St. Regis Bali,Kayuputi Astor Sunday Brunch,5,brunch,brunch,"IDR 1,650,000 net food; +bev 1,750,000; +premium 2,850,000 [OFFICIAL]",SEATED,SevenRooms,luxury/honeymoon/couples,Sunday a la carte pass-around brunch,Sun 11:00-15:00,official,kayuputibali.com specials,2026-07-19
Nusa Dua,The St. Regis Bali,Kayuputi (signature),5,resort_restaurant,resort_restaurant,a la carte/degustation [NO DATA],SEATED,TableCheck+Chope+SevenRooms,luxury/honeymoon/couples,beachfront Asian-inspired fine dining,daily 12:00-22:00,multi-channel,tablecheck st-regis-bali-kayuputi,2026-07-19
Nusa Dua,The Apurva Kempinski Bali,Reef Beach Club (day access),5,day_pass,day_pass,Free entry (dropped day-pass fee 2021); reserve ahead + seat min-spend/deposit 2026 [BLOG/2021 — VERIFY],COVERAGE,TableCheck (advance res),families/couples/expats/luxury,42m infinity pool + beach; pay-as-you-go F&B; watersports,~09:00-20:00,2021 press: no day-pass fee. But 2026 sources (official page + ELSKY Jun-2026) say advance reservation required and pool/beach seating carries min-spend — NOT a free walk-in swim. Field-verify by phone.,nowbali.co.id 2021 + elsky-bali.com Jun-2026 + kempinski.com (silent),2026-07-19
Nusa Dua,The Apurva Kempinski Bali,Brunchcation @ Pala,5,brunch,brunch,"IDR 798,000++/adult; kids 6-12 400,000++; <6 free [OFFICIAL]",SEATED,concierge phone/email; Chope,families/couples/expats/luxury,buffet+a la carte; welcome drink; free-flow soft; rooftop entertainment; pool/waterslide/beach,Sun 12:00-15:30,official 798k++ (not 750k),kempinski brunchcation,2026-07-19
Nusa Dua,The Apurva Kempinski Bali,Koral (aquarium fine dining),5,resort_restaurant,resort_restaurant,"set from IDR 1,200,000++/adult; tunnel from 3,000,000++/couple [OFFICIAL]",SEATED,TableCheck; resold Klook/Pelago,luxury/honeymoon/CN-JP,Bali first aquarium dining; bistronomic set menus,lunch 12-15; dinner 17:30-22:30,signature,kempinski koral,2026-07-19
Nusa Dua,The Apurva Kempinski Bali,Izakaya by OKU,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,likely TableCheck/concierge [inferred],luxury/couples/expats,open-kitchen Japanese izakaya,daily dinner,channel inferred,kempinski dining,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Day Escape (day pass),5,day_pass,day_pass,"IDR 350,000 [BLOG/DayPass]",COVERAGE,DayPass app,families/couples/expats,"pools, pool & beach bars, gym, beach, towel",day-use,entry-level; channel taken,book.daypassapp.com,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Culinary Escape (day pass),5,day_pass,day_pass,"IDR 550,000 [BLOG/DayPass]",COVERAGE,DayPass app,families/couples/expats,pool/beach/gym + dining element,day-use,inclusions not itemized,book.daypassapp.com,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Signature Escape (day pass),5,day_pass,day_pass,"IDR 800,000 [BLOG/DayPass]",COVERAGE,DayPass app,couples/luxury/expats,premium pool/beach + F&B,day-use,inclusions not itemized,book.daypassapp.com,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Serenity Escape (day pass),5,day_pass,day_pass,"IDR 1,300,000 [BLOG/DayPass]",COVERAGE,DayPass app,couples/honeymoon/luxury,top-tier day pass,day-use,highest tier,book.daypassapp.com,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Manarai Beach House,5,day_pass,day_pass,free entry; daybeds w/ F&B min-spend [BLOG],COVERAGE,direct WhatsApp,couples/expats/luxury,pool + beach; daybeds vs F&B spend,10:00-22:00,min-spend model,rollingalongwithkids.com,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Cucina Sunday Brunch,5,brunch,brunch,"IDR 888,000++/adult; child 6-12 388,000++; <6 free [OFFICIAL]",SEATED,ResDiary + WhatsApp,families/couples/expats/luxury,"fusion buffet ateliers, cheese/dessert, pool access",Sun 11:00-15:00,ex-Cut Catch Cucina; legacy 399k superseded,sofitelbalinusadua.com sunday-brunch,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Cucina (Italian signature),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,ResDiary,couples/honeymoon/luxury,Italian signature,dinner,non-guest via ResDiary,sofitelbalinusadua.com cucina,2026-07-19
Nusa Dua,Sofitel Bali Nusa Dua,Kwee Zeen (pan-Asian all-day),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,Dish Cult (Accor)/phone,families/expats,pan-Asian buffet+a la carte; breakfast venue,breakfast+all-day,CORRECTION: breakfast venue NOT the Sunday brunch (Cucina is),sofitelbalinusadua.com kwee-zeen,2026-07-19
Nusa Dua,The Westin Resort Nusa Dua,Wellness Day (day pass),5,day_pass,day_pass,"IDR 600,000 [BLOG/DayPass]",COVERAGE,DayPass app,wellness/couples/expats,wellness pool/spa/gym/beach,day-use,channel taken,book.daypassapp.com,2026-07-19
Nusa Dua,The Westin Resort Nusa Dua,Seaside Afternoon Tea (day pass),5,day_pass,day_pass,"IDR 464,000 [BLOG/DayPass]",COVERAGE,DayPass app,couples/families,afternoon tea + pool/beach,afternoon,inclusions not itemized,book.daypassapp.com,2026-07-19
Nusa Dua,The Westin Resort Nusa Dua,Sea Sip & Savor (day pass),5,day_pass,day_pass,"IDR 695,750 [BLOG/DayPass]",COVERAGE,DayPass app,couples/families,pool/beach + F&B,day-use,inclusions not itemized,book.daypassapp.com,2026-07-19
Nusa Dua,The Westin Resort Nusa Dua,Ultimate Dine & Dive (day pass),5,day_pass,day_pass,"IDR 968,000 [BLOG/DayPass]",COVERAGE,DayPass app,couples/luxury,premium dining + activity,day-use,top tier,book.daypassapp.com,2026-07-19
Nusa Dua,The Westin Resort Nusa Dua,Sunday Brunch @ Ikan,5,brunch,brunch,"IDR 695,000/person; <6 free [BLOG]",SEATED,Chope + WhatsApp + Marriott,families/expats,"welcome drink, beach & pool access, live entertainment, kids space, unlimited bites",Sun 12:00-16:00,"weekly, venue Ikan",balibuddies.com brunch,2026-07-19
Nusa Dua,The Westin Resort Nusa Dua,Prego Brunchissimo (monthly),5,brunch,brunch,"IDR 690,000++/adult; child 345,000++ [BLOG]",SEATED,Chope + WhatsApp,families/expats/CN-JP,"AYCE Italian buffet, welcome drink, pool/beach",month-end Sun 12:00-16:00,MONTHLY; possible overlap w/ Ikan brunch — verify,dineandwinebali.com prego,2026-07-19
Nusa Dua,The Westin Resort Nusa Dua,Prego (Italian signature),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope + Marriott,couples/families,Italian signature,dinner,non-guest via Chope,chope.co prego-westin,2026-07-19
Nusa Dua,Grand Hyatt Bali,Day pass,5,day_pass,day_pass,[NO DATA],COVERAGE,none,n/a,not offered to non-guests,n/a,no day pass,rollingalongwithkids.com,2026-07-19
Nusa Dua,Grand Hyatt Bali,Sunday brunch,5,brunch,brunch,[NO DATA],SEATED,n/a,n/a,no distinct public Sunday brunch found; Garden Cafe daily buffet only,n/a,not on Hyatt pages nor roundups,hyatt.com grand-hyatt-bali dining,2026-07-19
Nusa Dua,Grand Hyatt Bali,Salsa Verde (Italian),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,phone/WhatsApp/email only,couples/luxury,"Italian fine dining, ocean-view",dinner ~17:30-22:00,no Chope/TableCheck,hyatt.com salsa-verde,2026-07-19
Nusa Dua,Grand Hyatt Bali,Nampu (Japanese/teppanyaki),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,phone/email,couples/JP,Japanese fine dining/teppanyaki,dinner,phone/email only,hyatt.com grand-hyatt dining,2026-07-19
Nusa Dua,Grand Hyatt Bali,Pasar Senggol (night-market+dance),5,resort_restaurant,resort_restaurant,buffet+show [NO DATA],SEATED,phone/email,families/CN-JP-IN packages,Balinese buffet + dance,Tue & Fri 18:00-22:00,twice-weekly cultural dinner,hyatt.com pasar-senggol,2026-07-19
Nusa Dua,Hilton Bali Resort,A Day in Paradise (day-use pkg),5,day_pass,day_pass,"IDR 1,700,000 (~USD 107) [BLOG]",COVERAGE,direct Tour Desk,families/couples,"private day-use ROOM + pool, beach, restaurants, fitness, tennis, waterslide, spa",09:00-17:00,direct-only; includes a room; may be dated,tripcanvas.co,2026-07-19
Nusa Dua,Hilton Bali Resort,Sunday brunch,5,brunch,brunch,[NO DATA],SEATED,n/a,n/a,no dedicated Sunday brunch; Grain daily breakfast only,n/a,none found,hilton.com dpsbahi dining,2026-07-19
Nusa Dua,Hilton Bali Resort,HamaSei (Japanese signature),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,email only,couples/JP/luxury,sashimi/sushi/teppanyaki/robatayaki,daily 17:00-22:00,opened 2025,hilton.com hamasei,2026-07-19
Nusa Dua,Hilton Bali Resort,Grain (all-day/buffet),5,resort_restaurant,resort_restaurant,a la carte/buffet [NO DATA],SEATED,Chope + email,families,international buffet + a la carte,bfast 06:30-10:30; dinner 18-22,on Chope,chope.co grain-hilton,2026-07-19
Nusa Dua,Paradisus by Melia Bali (ex-Melia Bali),Pool & Beach Day Pass,5,day_pass,day_pass,"IDR 500,000/adult tax incl; kids 0-11 50% [BLOG]",COVERAGE,DayPass app / Megatix / direct,families/couples,"beach, pools, loungers, towel, IDR 500,000 F&B credit, entertainment, WiFi",09:00-18:00,F&B credit = pass value; all-inclusive shift,worlddaypass.com melia,2026-07-19
Nusa Dua,Paradisus by Melia Bali,Sunday brunch,5,brunch,brunch,[NO DATA],SEATED,[NO DATA],families/couples,no current public price,[NO DATA],all-inclusive shift folds brunch into packages,melia.com melia-bali restaurants,2026-07-19
Nusa Dua,Paradisus by Melia Bali,Sateria + Tokimeku/Malva/Peseta/Samira,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope + Melia.com,couples/families/luxury,"beachfront; Malva intl (ex El Patio), Tokimeku JP, Peseta ES, Samira ME",[NO DATA],El Patio->Malva under Paradisus,chope.co sateria-melia,2026-07-19
Nusa Dua,The Laguna (Luxury Collection),Lagoon Pool & Beach Day Pass,5,day_pass,day_pass,"LEGACY 2019: IDR 500,000/adult, 250,000/child + credit; current [NO DATA]",COVERAGE,DayPass + Chope + direct,families/couples,"7 lagoon pools + beach, resort credit, towels/lockers, WiFi",09:00-20:00 (legacy),only legacy figure; live page bot-blocked,highend-traveller.com laguna,2026-07-19
Nusa Dua,The Laguna (Luxury Collection),Sunday Beach & BBQ Brunch @ Arwana,5,brunch,brunch,"IDR 650,000 net/person [BLOG]",SEATED,Chope/phone/email,couples/families/expats,"seafood/BBQ intl buffet, oysters, mocktails, live music; kids 3-12 500k++",Sun 12:00-15:00,Bali Buddies 2026,balibuddies.com brunch,2026-07-19
Nusa Dua,The Laguna (Luxury Collection),Arwana (beachfront seafood),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope,couples/luxury/honeymoon,beachfront seafood/international,11:00-23:00,non-guest via Chope,chope.co arwana-laguna,2026-07-19
Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Beach & Pool Day Pass,5,day_pass,day_pass,"IDR 450,000 net/adult; child 6-12 225,000; <6 free [BLOG]",COVERAGE,direct/WhatsApp (not on DayPass),families/couples,"pool+beach, spa facilities+25% off, gym, towels, kids club, WiFi",24h advance,Accor Handwritten; NOT Merusaka; 2 blogs corroborate,rollingalongwithkids.com,2026-07-19
Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Tetaring Balinese buffet+dance dinners,5,brunch,brunch,[NO DATA],SEATED,direct/phone/WhatsApp,families/couples/CN-JP-IN,Balinese dinner buffet + dance; Seafood BBQ & Fire Dance nights,evening,nightly cultural buffets (not Sunday-only),nusaduahotel.com balinese-fusion-buffet,2026-07-19
Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Raja's Balinese (+ Tetaring),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,WhatsApp only,families/couples,Balinese (Raja's); Indonesian (Tetaring),"Raja's Mon-Fri 08-20, Sun 08-18",Raja's/Tetaring belong here NOT Merusaka,nusaduahotel.com rajas,2026-07-19
Nusa Dua,Merusaka Nusa Dua (ex-INAYA Putri Bali),Pool Day Pass,5,day_pass,day_pass,"IDR 200,000 net/person; <5 free [BLOG]",COVERAGE,WhatsApp (direct),families,main pool; FoamTastic foam parties Wed & Sun 16-19,07:00-19:00,"Merusaka = ex-INAYA Putri Bali (2021), NOT ex-Nusa Dua Beach Hotel",rollingalongwithkids.com,2026-07-19
