slug,name,category,district,official_url,instagram_url,full_address,gmaps_url
babi-guling-men-lari,Babi Guling Men Lari,warung,canggu,,https://www.instagram.com/begulingmenlari/,,
babi-guling-sari-kembar-99,Babi Guling Sari Kembar 99,warung,canggu,,https://www.instagram.com/babiguling.sarikembar99/,,
de-maison-bali-restaurant-and-bar,De Maison Bali Restaurant & Bar,restaurant,denpasar,,https://www.instagram.com/demaisonbali/,,
bali-barber-jimbaran,Bali Barber Jimbaran,beauty,jimbaran,,,Jimbaran,https://www.google.com/maps/search/?api=1&query=Bali+Barber+Jimbaran+Bali
jimbaran-hair-beauty-studio,Jimbaran Hair & Beauty Studio,beauty,jimbaran,,,Jimbaran,https://www.google.com/maps/search/?api=1&query=Jimbaran+Hair+Beauty+Studio+Jimbaran+Bali
four-seasons-jimbaran-fitness-centre,Four Seasons Jimbaran Fitness Centre,fitness,jimbaran,https://www.fourseasons.com/jimbaranbay/,,,https://www.google.com/maps/search/?api=1&query=Four%20Seasons%20Jimbaran%20Fitness%20Centre%20Muaya%20%2F%20Four%20Seasons%20ridge%20Jimbaran%20Bali
trac-rental-jimbaran,TRAC Rental,rental,jimbaran,https://trac.astra.co.id,,Jakarta,"https://www.google.com/maps/search/?api=1&query=TRAC%20Rental,%20Bali,%20Bali,%20Indonesia"
5kitchen-bali-suites5-hotel,5Kitchen Bali (Suites5 Hotel),restaurant,jimbaran,,,"Suites5 Hotel, Jalan Pantai Balangan No.99, Jimbaran, Bali 80361",
chatwood-coffee-and-eatery,Chatwood Coffee and Eatery,restaurant,jimbaran,,,"Jalan Bypass Ngurah Rai No.777, Jimbaran, Bali 80362",
loloan-coastal-peruvian-raffles-bali,Loloan Coastal Peruvian (Raffles Bali),restaurant,jimbaran,,,"Raffles Bali Jalan Karang Mas Sejahtera No.1A, Jimbaran, Bali 80361",
four-seasons-jimbaran-yoga,Four Seasons Jimbaran Yoga,yoga,jimbaran,https://www.fourseasons.com/jimbaranbay/,,,https://www.google.com/maps/search/?api=1&query=Four%20Seasons%20Jimbaran%20Yoga%20Muaya%20%2F%20Four%20Seasons%20ridge%20Jimbaran%20Bali
mozzarella-by-the-sea-the-bandha-hotel-and-suites,Mozzarella by The Sea (The Bandha Hotel and Suites),cafe,kuta-legian,,,"The Bandha Hotel and Suites, Jalan Padma Utara, Legian, Bali 80361",
anika-gym,Anika Gym,fitness,kuta-legian,,https://www.instagram.com/anika_fitness_club/,,https://www.google.com/maps/search/?api=1&query=Anika%20Gym%20Kuta%20%2F%20Legian%20catchment%20Kuta%20Bali
crossfit-seminyak,Crossfit Seminyak,fitness,kuta-legian,https://www.crossfit-seminyak.com/,https://www.instagram.com/crossfit_seminyak_bali/,,https://www.google.com/maps/search/?api=1&query=Crossfit%20Seminyak%20Seminyak%2FLegian%20edge%20Kuta%20Bali
hammerhead-fitness,Hammerhead Fitness,fitness,kuta-legian,https://hammerheadgymbali.com/,https://www.instagram.com/hammerheadgymbali/,,https://www.google.com/maps/search/?api=1&query=Hammerhead%20Fitness%20Kuta%20%2F%20Legian%20catchment%20Kuta%20Bali
rai-fitness-sunset-bali,Rai Fitness Sunset Bali,fitness,kuta-legian,,https://www.instagram.com/raifitnessbali/,,https://www.google.com/maps/search/?api=1&query=Rai%20Fitness%20Sunset%20Bali%20Sunset%20Road%20%2F%20Kuta-Legian%20edge%20Kuta%20Bali
kuta-rental-kuta-legian,Kuta Rental,rental,kuta-legian,https://kutarental.net,,,"https://www.google.com/maps/search/?api=1&query=Kuta%20Rental,%20Bali,%20Bali,%20Indonesia"
big-fish-grill-the-stones-legian-bali,"Big Fish Grill (The Stones – Legian, Bali)",restaurant,kuta-legian,,,"The Stones Hotel - Legian Bali, Jalan Raya Pantai Kuta, Kuta, Bali 80361",
ganesha-ek-sanskriti-discovery-mall-kuta-bali,Ganesha Ek Sanskriti (Discovery Mall Kuta Bali),restaurant,kuta-legian,,,"Discovery Mall Kuta Bali, UG Floor, Jalan Kartika Plaza No.5, Kuta, Bali 80361",
kimukatsu-beach-walk-bali,Kimukatsu (Beach Walk Bali),restaurant,kuta-legian,,,"1st Floor, Beachwalk Bali, Jalan Pantai Kuta, Kuta Bali 80361",
lobby-bar-discovery-kartika-plaza-hotel,Lobby Bar (Discovery Kartika Plaza Hotel),restaurant,kuta-legian,,,"Discovery Kartika Plaza Hotel, Jalan Kartika Plaza, Kuta, Bali 80361",
palms-restaurant-holiday-inn-resort-baruna-bali,Palms Restaurant (Holiday Inn Resort Baruna Bali),restaurant,kuta-legian,,,"Holiday Inn Resort Baruna Bali, an IHG Hotel, Jalan Wana Segara No.33, Tuban, Kuta, Bali 80361",
rokkyu-teppanyaki-grand-istana-rama-hotel-kuta,Rokkyu Teppanyaki (Grand Istana Rama Hotel Kuta),restaurant,kuta-legian,,,"Grand Istana Rama Hotel Kuta Jalan Pantai Kuta, Kuta, Bali 80361",
tapas-tapas-bali-grand-livio-kuta-hotel,Tapas Tapas Bali (Grand Livio Kuta Hotel),restaurant,kuta-legian,,,"Grand Livio Kuta Hotel, Jalan Dewi Sri No.17, Legian, Bali 80361",
tupai-bar-discovery-kartika-plaza-hotel,Tupai Bar (Discovery Kartika Plaza Hotel),restaurant,kuta-legian,,,"Discovery Kartika Plaza Hotel, Jalan Kartika Plaza, Kuta, Bali 80361",
la-karma-spa-kuta-legian,La Karma Spa,spa,kuta-legian,https://lakarmaspa.com,https://www.instagram.com/lakarmaspa/,"Padma Utara, Legian, Bali, Indonesia","https://www.google.com/maps/search/?api=1&query=La%20Karma%20Spa,%20Legian,%20Bali,%20Indonesia"
pole-studio-bali,Pole Studio Bali,yoga,kuta-legian,http://www.polestudiobali.com/,,,https://www.google.com/maps/search/?api=1&query=Pole%20Studio%20Bali%20Kuta%20%2F%20Seminyak-Legian%20catchment%20Kuta%20Bali
secret-garden-restaurant,Secret Garden Restaurant,restaurant,lovina,,https://www.instagram.com/secretgarden3456/,,
earthbound-lovina,Earthbound,spa,lovina,https://weekendnotes.com,,"Jalan Binaria, Lovina Beach, Bali","https://www.google.com/maps/search/?api=1&query=Earthbound,%20Lovina%20Beach,%20Bali,%20Indonesia"
the-little-hill-terrace,The Little Hill Terrace,restaurant,munduk,http://www.thelittlehillterrace.com/,https://www.instagram.com/thelittlehillterrace/,,
bali-beauty-salon-nusa-dua,Bali Beauty Salon Nusa Dua,beauty,nusa-dua,,,Nusa Dua,https://www.google.com/maps/search/?api=1&query=Bali+Beauty+Salon+Nusa+Dua+Bali
gourmet-and-cafe-nusa-dua,Gourmet and Cafe Nusa Dua,cafe,nusa-dua,,,,https://www.google.com/maps/search/?api=1&query=Gourmet%20and%20Cafe%20Nusa%20Dua%20Bali
conrad-bali-fitness-centre,Conrad Bali Fitness Centre,fitness,nusa-dua,https://www.hilton.com/en/hotels/dpscici-conrad-bali/,,,https://www.google.com/maps/search/?api=1&query=Conrad%20Bali%20Fitness%20Centre%20Tanjung%20Benoa%20Nusa%20Dua%20Bali
grand-hyatt-bali-fitness-centre,Grand Hyatt Bali Fitness Centre,fitness,nusa-dua,https://www.hyatt.com/grand-hyatt/dpsgh-grand-hyatt-bali,,,https://www.google.com/maps/search/?api=1&query=Grand%20Hyatt%20Bali%20Fitness%20Centre%20ITDC%20%2F%20beachfront%20Nusa%20Dua%20Bali
homaya-restaurant-merusaka-nusa-dua,Homaya Restaurant (Merusaka Nusa Dua),restaurant,nusa-dua,,,"Merusaka Nusa Dua, Kawasan Wisata Nusa Dua Lot S-3, Nusa Dua, Bali 80363",
tanah-liat-renaissance-bali-nusa-dua-resort,Tanah Liat (Renaissance Bali Nusa Dua Resort),restaurant,nusa-dua,,,"Renaissance Bali Nusa Dua Resort, Kawasan Pariwisata Lot SW 4 - 5, Nusa Dua, Bali 80361",
bali-relaxing-resort-and-spa-nusa-dua-nusa-dua,Bali Relaxing Resort And Spa Nusa Dua,spa,nusa-dua,https://bali-relaxing-resort-spa-nusa-dua.all-balihotels.net,,"Jalan Pratama No.62 Tanjung Benoa,Badung - Bali--, Nusa Dua (Bali), Indonesia","https://www.google.com/maps/search/?api=1&query=Bali%20Relaxing%20Resort%20And%20Spa%20Nusa%20Dua,%20Nusa%20Dua,%20Bali,%20Indonesia"
mim-spa-nusa-dua,MIM SPA,spa,nusa-dua,https://melia.com,,"Avenida Sofía, 12 08870 Sitges, Barcelona, Spain","https://www.google.com/maps/search/?api=1&query=MIM%20SPA,%20Sitges,%20Bali,%20Indonesia"
zahra-luxury-spa-nusa-dua,Zahra Luxury Spa,spa,nusa-dua,https://zahraluxuryspa.com,Not Provided,Not Provided,"https://www.google.com/maps/search/?api=1&query=Zahra%20Luxury%20Spa,%20Not%20Provided,%20Bali,%20Indonesia"
conrad-bali-yoga,Conrad Bali Yoga,yoga,nusa-dua,https://www.hilton.com/en/hotels/dpscici-conrad-bali/,,,https://www.google.com/maps/search/?api=1&query=Conrad%20Bali%20Yoga%20Tanjung%20Benoa%20Nusa%20Dua%20Bali
grand-hyatt-bali-yoga,Grand Hyatt Bali Yoga,yoga,nusa-dua,https://www.hyatt.com/grand-hyatt/dpsgh-grand-hyatt-bali,,,https://www.google.com/maps/search/?api=1&query=Grand%20Hyatt%20Bali%20Yoga%20ITDC%20%2F%20beachfront%20Nusa%20Dua%20Bali
oranje-bar,Oranje Bar,bar,sanur,,,Sanur,https://www.google.com/maps/search/?api=1&query=Oranje%20Bar%20Sanur%20Bali
good-hair-day-sanur,Good Hair Day Sanur,beauty,sanur,,,Sanur,https://www.google.com/maps/search/?api=1&query=Good+Hair+Day+Sanur+Bali
beer-brothers,Beer Brothers,cafe,sanur,,,"Jalan Matahari Terbit, Sanur, Bali 80227",
rue-maya-sanur,RUE (Maya Sanur),cafe,sanur,,,"Maya Sanur Resort & Spa, Jalan Danau Tamblingan No.89M, Sanur, Bali 80228",
white-orchid-sanur,White Orchid (Sanur),cafe,sanur,,https://www.instagram.com/whiteorchidbali/,Sanur,https://www.google.com/maps/search/?api=1&query=White%20Orchid%20%28Sanur%29%20Sanur%20Bali
fitness-plus,Fitness plus,fitness,sanur,https://fitnessplusindonesia.co.id/branch/FPSNR,https://www.instagram.com/fitnessplus.sanur/,,https://www.google.com/maps/search/?api=1&query=Fitness%20plus%20OSM%201.8km%20from%20Sanur%20center%20Sanur%20Bali
marramba-fitness,Marramba Fitness,fitness,sanur,http://www.marrambafitness.com/,,,https://www.google.com/maps/search/?api=1&query=Marramba%20Fitness%20OSM%202.4km%20from%20Sanur%20center%20Sanur%20Bali
shankha-spa-and-fitness-at-hyatt-regency-bali,Shankha Spa & Fitness at Hyatt Regency Bali,fitness,sanur,https://www.hyatt.com/,,,https://www.google.com/maps/search/?api=1&query=Shankha%20Spa%20%26%20Fitness%20at%20Hyatt%20Regency%20Bali%20Central%20Sanur%20%2F%20Danau%20Tamblingan%20Sanur%20Bali
flow-restaurant-sumitra-luxury-villas-and-resort,Flow Restaurant (Sumitra Luxury Villas and Resort),restaurant,sanur,,,"Sumitra Luxury Villas and Resort, Jalan Tirta Empul, Intaran, Sanur, Bali 80228",
terrace-sanur-the-1o1-bali-oasis-sanur,Terrace Sanur (The 1O1 Bali Oasis Sanur),restaurant,sanur,,,"The 101 Bali Oasis Sanur, Jalan Danau Tamblingan No. 136 A, Sanur, Bali 80228",
aroma-spa-retreat-sanur,Aroma Spa Retreat Sanur,spa,sanur,,https://www.instagram.com/aroma_spa_retreat/,Sanur,https://www.google.com/maps/search/?api=1&query=Aroma+Spa+Retreat+Sanur+Bali
koa-spa-sanur,Koa Spa,spa,sanur,https://koashala.com,https://www.instagram.com/koashala/?hl=en,"Jln Danau Tamblingan 77a, Sanur, Bali, Indonesia","https://www.google.com/maps/search/?api=1&query=Koa%20Spa,%20Sanur,%20Bali,%20Indonesia"
rip-curl-school-of-surf,Rip Curl School of Surf,surf,sanur,http://mobile.ripcurlschoolofsurf.com/the-schools/sanur/,,,https://www.google.com/maps/search/?api=1&query=Rip%20Curl%20School%20of%20Surf%20OSM%201.9km%20from%20Sanur%20center%20Sanur%20Bali
warung-pregina,Pregina Warung,warung,sanur,,https://www.instagram.com/preginabalii/,,
warung-babi-guling-sanur-bypass,Warung Babi Guling Sanur,warung,sanur,,,,
warung-coconut-tree,Warung Coconut Tree,warung,sanur,,https://www.instagram.com/warungcoconuttree/,Sanur,https://www.google.com/maps/search/?api=1&query=Warung%20Coconut%20Tree%20Sanur%20Bali
shankha-spa-hyatt-regency-bali-yoga,Shankha Spa / Hyatt Regency Bali Yoga,yoga,sanur,https://www.hyatt.com/,,,https://www.google.com/maps/search/?api=1&query=Shankha%20Spa%20%2F%20Hyatt%20Regency%20Bali%20Yoga%20Central%20Sanur%20Sanur%20Bali
noi-bali-grill-and-hanging-out,Noi Bali Grill and Hanging Out,cafe,seminyak,,,"Jalan Raya Kedampang, Kerobokan Kelod, Seminyak, Bali 80117",
to-the-moon-cafe,To the moon cafe,cafe,seminyak,,https://www.instagram.com/tothemoon.cafe.bali/,,
the-shisha-house-seminyak,The Shisha House,hookah_lounge,seminyak,https://sites.google.com,https://www.instagram.com/shishahouse.seminyak/,,"https://www.google.com/maps/search/?api=1&query=The%20Shisha%20House,%20Seminyak,%20Bali,%20Indonesia"
puri-bali-car-rental-seminyak,Puri Bali Car Rental,rental,seminyak,https://puribalicarrental.com,,"Bali, Indonesia","https://www.google.com/maps/search/?api=1&query=Puri%20Bali%20Car%20Rental,%20Bali,%20Bali,%20Indonesia"
sewa-motor-bali-seminyak,Sewa Motor Bali,rental,seminyak,https://sewamotorbali.co.id,,,"https://www.google.com/maps/search/?api=1&query=Sewa%20Motor%20Bali,%20Bali,%20Bali,%20Indonesia"
bar-rasa,BAR RASA,restaurant,seminyak,,,"Villa Air Bali Boutique Resort and Spa, Jalan Lebak Sari, Seminyak, Bali 80361",
batur-restaurant-grand-mercure-bali-seminyak,Batur Restaurant (Grand Mercure Bali Seminyak),restaurant,seminyak,,,"Grand Mercure Bali Seminyak, Jalan Arjuna No.40, Seminyak, Bali 80361",
ocean-grand-beach,Ocean Grand Beach,restaurant,seminyak,,,"Grand Seminyak - Lifestyle Boutique Bali Resort, Jalan Camplung Tanduk Dhyana Pura, Seminyak, Bali 80361",
projects-brunch-and-coffee,Projects Brunch & Coffee,restaurant,seminyak,,,"Jalan Mertanadi No.91b, Seminyak, Bali 80361",
rosalita-s-cantina-bali,Rosalita's Cantina Bali,restaurant,seminyak,,,"Seminyak Square Kompleks Units 1C and 2C, Jalan Kayu Aya 100, Seminyak, Bali 80361",
seminyak-kitchen-courtyard-by-marriott-bali-seminyak-resort,Seminyak Kitchen (Courtyard by Marriott Bali Seminyak Resort),restaurant,seminyak,,,"Courtyard by Marriott Bali Seminyak Resort, Jalan Camplung Tanduk No 103 SP, Seminyak, Bali 80361",
shishi-izakaya-lounge,ShiShi Izakaya Lounge,restaurant,seminyak,,,"Jalan Petitenget No. 208X, Seminyak, Bali 80361",
sugarsand,SugarSand,restaurant,seminyak,,,"Hotel Indigo Bali Seminyak Beach, Jalan Camplung Tanduk No. 10, Seminyak, Bali 80361",
the-club-bali,The Club Bali,restaurant,seminyak,,,"Jalan Batu Belig Gg. Daksina No.1, Seminyak, Bali 80361",
atman-spa-kerobokan-seminyak,Atman Spa Kerobokan,spa,seminyak,https://atmanspabali.com,,"Jl. Taman Sari Asri No.9, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80117","https://www.google.com/maps/search/?api=1&query=Atman%20Spa%20Kerobokan,%20Kerobokan,%20Bali,%20Indonesia"
ortus-wellness-seminyak,Ortus Wellness,spa,seminyak,https://hyatt.com,https://www.instagram.com/grandhyattabudhabi/,"West Corniche Corniche Road, Abu Dhabi, United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Ortus%20Wellness,%20Sofia,%20Bali,%20Indonesia"
warung-murah-petitenget,Warung Murah,warung,seminyak,,,,
warung-taman-bambu,Warung Taman Bambu,warung,seminyak,,,,
w-bali-wellness-yoga,W Bali Wellness / Yoga,yoga,seminyak,https://www.marriott.com/en-us/hotels/dpswh-w-bali-seminyak/overview/,,,https://www.google.com/maps/search/?api=1&query=W%20Bali%20Wellness%20%2F%20Yoga%20Petitenget%20beachfront%20Seminyak%20Bali
nusantara,Nusantara,restaurant,tabanan,,,"Nuanu City, Jalan Pantai Nyanyi, Beraban, Kediri, Tabanan, Bali 82121",
waka-bar-and-restaurant-wakagangga-boutique-resort,Waka Bar and Restaurant (WakaGangga Boutique Resort),restaurant,tabanan,,,"WakaGangga Boutique Resort Jalan Pantai Yeh Gangga, Sudimara, Tabanan, Bali 82115",
lkp-tirtasari-spa-tabanan,LKP Tirtasari Spa,spa,tabanan,https://lkptirtasarispa.com,,,"https://www.google.com/maps/search/?api=1&query=LKP%20Tirtasari%20Spa,%20Tabanan,%20Bali,%20Indonesia"
bali-barber-ubud,Bali Barber Ubud,beauty,ubud,,,Ubud,https://www.google.com/maps/search/?api=1&query=Bali+Barber+Ubud+Bali
ubud-beauty-salon,Ubud Beauty Salon,beauty,ubud,,,Ubud,https://www.google.com/maps/search/?api=1&query=Ubud+Beauty+Salon+Bali
de-daara-eateries-anandadara-ubud,De Daara Eateries (Anandadara Ubud),cafe,ubud,,,"Anandadara Ubud, Tirta Tawar, Banjar Abangan, Ubud, Bali 80571",
mamu-ubud-cafe-shisha-hookah,MAMU Ubud Cafe Shisha Hookah,cafe,ubud,,https://www.instagram.com/mamu_bali/,,
takir-restaurant-and-bar-arya-arkananta-resort-and-spa,Takir Restaurant and Bar (Arya Arkananta Resort and Spa),cafe,ubud,,,"Arya Arkananta Resort and Spa, Gang Damai Sayan, Ubud, Bali 80571",
wajik-restaurant-by-ely-s-kitchen-unagi-wooden-villas-by-emana,Wajik Restaurant by Ely's Kitchen (Unagi Wooden Villas by Emana),cafe,ubud,,,"Unagi Wooden Villas by Emana, Br. Apuh, Lodtunduh, Ubud, Bali 80571",
four-seasons-resort-bali-at-sayan-fitness,Four Seasons Resort Bali at Sayan Fitness,fitness,ubud,https://www.fourseasons.com/sayan/,,,https://www.google.com/maps/search/?api=1&query=Four%20Seasons%20Resort%20Bali%20at%20Sayan%20Fitness%20Sayan%20Ubud%20Bali
ubud-gym,Ubud Gym,fitness,ubud,,,,https://www.google.com/maps/search/?api=1&query=Ubud+Gym+Bali
bale-udang-ubud,Bale Udang (Ubud),restaurant,ubud,,,"Jalan Goa Gajah, Peliatan, Ubud, Bali 80571",
bebek-tepi-sawah,Bebek Tepi Sawah,restaurant,ubud,https://bebektepisawah.com/,,,https://www.google.com/maps/search/?api=1&query=Bebek+Tepi+Sawah+Ubud
bell-aria-seres-springs-resort-and-spa-ubud,Bell'Aria (SereS Springs Resort and Spa Ubud),restaurant,ubud,,,"SereS Springs Resort and Spa Jalan Jukut Paku, Singakerta, Ubud, Bali 80571",
bella-by-sage,Bella by Sage,restaurant,ubud,https://www.bellaubud.com/,,,https://www.google.com/maps/search/?api=1&query=Bella+by+Sage+Ubud
bulan-madu-restaurant-amora-ubud-boutique-villas,Bulan Madu Restaurant (Amora Ubud Boutique Villas),restaurant,ubud,,,"Amora Ubud Boutique Villas, Jalan Bangkiang Sidem, Ubud, Bali 80571",
casa-de-lokha-mexican-grill-and-fusion-the-lokha-ubud,Casa de Lokha Mexican Grill and Fusion (The Lokha Ubud),restaurant,ubud,,,"The Lokha Ubud, Jalan Bangkiang Sidem No.250, Ubud, Bali 80561",
cinta-grill,Cinta Grill,restaurant,ubud,,,"Cinta Inn Jalan Monkey Forest, Ubud, Bali 80571",
d-made-restaurant-the-kalyana-ubud-resort,D'Made Restaurant (The Kalyana Ubud Resort),restaurant,ubud,,,"The Kalyana Ubud Resort, Jalan Cempaka No. 1, Ubud, Bali 80571",
d-pondok-warung-pondok-sebatu-villa,D’Pondok Warung (Pondok Sebatu Villa),restaurant,ubud,,,"Pondok Sebatu Villa, Uma kaja, desa, Sebatu, Tegallalang, Ubud, Bali 80561",
dining-corner-kayumanis-ubud,Dining Corner (Kayumanis Ubud),restaurant,ubud,,,"Kayumanis Ubud Private Villa & Spa Jalan Baung No.1, Sayan, Ubud, Bali 80571",
gabriel-french-bistro,Gabriel French Bistro,restaurant,ubud,,,"Jalan Bisma, Ubud, Bali 80571",
imbu-restaurant-the-kemilau-ubud,IMBU Restaurant (The Kemilau Ubud),restaurant,ubud,,,"The Kemilau Ubud Jalan Raya Pengosekan, Ubud, Bali 80571",
jungle-flower-restaurant,Jungle Flower Restaurant,restaurant,ubud,,https://www.instagram.com/jungleflowerrestaurant/,,
kemukus-restaurant-kuwarasan-a-pramana-experience,Kemukus Restaurant (Kuwarasan A Pramana Experience),restaurant,ubud,,,"Kuwarasan A Pramana Experience Jalan Cinta, Penusuan, Tegallalang, Ubud, Bali 80561",
laddu-restaurant-the-sankara-suites-and-villas,Laddu Restaurant (The Sankara Suites and Villas),restaurant,ubud,,,"The Sankara Suites and Villas Jalan Sri Wedari, No. 78, Ubud, Bali 80571",
lynked-restaurant,Lynked Restaurant,restaurant,ubud,,,"Jalan Raya Ubud, Ubud, Bali 80571",
rempah-restaurant-menzel-ubud,Rempah Restaurant (Menzel Ubud),restaurant,ubud,,,"Menzel Ubud, Banjar Kalah Peliatan, Ubud, Bali 80571",
sakti-dining-room-fivelements-retreat-bali,Sakti Dining Room (Fivelements Retreat Bali),restaurant,ubud,,,"Fivelements Retreat Bali, Banjar Baturning, Mambal, Abiansemal, Bali 80352",
swan-restaurant-keramas-desa-swan-villas-and-spa,Swan Restaurant Keramas (Desa Swan Villas and Spa),restaurant,ubud,,,"Desa Swan Villas and Spa Jalan Pantai Selukat, Keramas Beach, Gianyar, Bali 80581",
tabia-the-westin-resort-and-spa-ubud-bali,"Tabia (The Westin Resort and Spa Ubud, Bali)",restaurant,ubud,,,"The Westin Resort & Spa Ubud, Jalan Raya Lod Tunduh, Singakerta, Ubud, Bali 80571",
tangelo-bali,Tangelo Bali,restaurant,ubud,,,"Cicada Resort Bali Ubud, Autograph Collection, Jalan Raya Bilukan, Sebatu, Ubud, Bali 80561",
tangi-restaurant-gdas-bali-health-and-wellness-resort,Tangi Restaurant (Gdas Bali Health and Wellness Resort),restaurant,ubud,,,"Gdas Bali Health and Wellness Resort, Jalan Cempaka Banjar Kumbuh, Ubud, Bali 80571",
the-grill-at-luxe,The Grill at LUXE,restaurant,ubud,,,"Jalan Kajeng at Juwuk Manis Ubud Kaja, Ubud, Bali 80571",
the-lair,The Lair,restaurant,ubud,,,"Jalan Raya Ubud No.23, Ubud, Bali 80571",
alaya-ubud-ubud,Alaya Ubud,spa,ubud,https://dalaspa.com,,,"https://www.google.com/maps/search/?api=1&query=Alaya%20Ubud,%20Jalan%20Hanoman%20Ubud,%20Bali,%20Indonesia"
banyan-tree-spa-macau-ubud,Banyan Tree Spa Macau,spa,ubud,https://banyantree.com,,"Banjar Selat, Desa Buahan Kaja, Payangan, Gianyar, Bali 80572, Indonesia","https://www.google.com/maps/search/?api=1&query=Banyan%20Tree%20Spa%20Macau,%20Bali,%20Bali,%20Indonesia"
four-seasons-spa-ubud,Four Seasons Spa,spa,ubud,https://fourseasons.com,,"Ubud, Bali","https://www.google.com/maps/search/?api=1&query=Four%20Seasons%20Spa,%20Ubud,%20Bali,%20Indonesia"
parina-spa-ubud-ubud,Parina Spa Ubud,spa,ubud,https://activities.marriott.com,,"Ubud, Bali","https://www.google.com/maps/search/?api=1&query=Parina%20Spa%20Ubud,%20Ubud,%20Bali,%20Indonesia"
pengosekan-spa-hotels-ubud,Pengosekan Spa Hotels,spa,ubud,https://survivorsofsuicide.com,,"Ari Putri Hotel, Sanur Beach, Bali, Indonesia","https://www.google.com/maps/search/?api=1&query=Pengosekan%20Spa%20Hotels,%20Ubud,%20Pengosekan,%20Bali,%20Indonesia"
reflexology-ubud-ubud,Reflexology Ubud,spa,ubud,https://reflexologyubud.com,https://www.instagram.com/reflexologyubud/,,"https://www.google.com/maps/search/?api=1&query=Reflexology%20Ubud,%20Ubud,%20Bali,%20Indonesia"
royal-kirana-spa-ubud,Royal Kirana Spa,spa,ubud,https://royalkirana.reserveonline.id,,,"https://www.google.com/maps/search/?api=1&query=Royal%20Kirana%20Spa,%20Kedewatan,%20Bali,%20Indonesia"
