canonical_intent_id,canonical_name,publication_risk,required_data_fields,observed_evidence,data_readiness,blocking_field,remediation,auto_decision_reason,created_at,generator,source_version
OB-CAN-0011,Choose a romantic dinner in Ubud,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0012,Choose a special-occasion / birthday dinner,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0013,Find a dinner spot without loud music,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0014,Find a fine-dining tasting-menu experience,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0015,Eat after midnight in Canggu,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0016,Find a really good specialty coffee shop,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0017,Find quiet cafe suitable for Zoom / video calls,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0018,Find laptop-friendly cafe with power outlets and fast Wi-Fi,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0019,"Buy a coworking day pass (drop-in, no membership)",OPERATIONAL,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0020,Choose a sunset dinner in Uluwatu,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0021,Find a quiet sunset spot away from big beach clubs,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0022,Find sunset spot with sunset happy-hour cocktails,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0023,Do Mount Batur sunrise trek,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0024,Watch sunrise at Sanur beach walk,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0025,Find what to do in Bali on a rainy day,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0026,Find family cafe / restaurant with kids' play area,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0027,Choose Canggu vs Sanur for first trip with young kids,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0028,Spend a day at Waterbom Bali with kids,LOW,venues.publication_status;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0029,Book a couples spa treatment,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0030,Have a private-chef in-villa dinner for two,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0031,Find a private / secluded spot to propose,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0032,Hire a proposal / engagement photographer in Bali,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0033,Feel safe as a solo female traveller,SAFETY,authoritative_source;reviewed_by;reviewed_at,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,HIGH_RISK_NOT_READY,authoritative_source;reviewed_by;reviewed_at,owner authority + authoritative answer evidence required before any publication,risk_class=SAFETY: 04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy sets auto_build_allowed=false and publication_status=RESEARCH_ONLY for SAFETY/MEDICAL/LEGAL_REGULATORY,2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0034,Find social coworking to meet people as a solo nomad,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0035,Book a solo yoga retreat in Ubud,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0036,Find a big party villa for a bachelorette / birthday group,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0037,Book bottomless Sunday brunch for a group,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0038,Book a Balinese traditional massage / spa in Ubud,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0039,Find affordable clean 1-hour massage anywhere,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0040,Find safe swimming beach in Sanur for calm water,LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0041,Pick a beach club for chill day (not party),LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0042,Buy a hotel day pass (pool for non-guests),OPERATIONAL,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0043,Learn to surf as a beginner (safe waves),LOW,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,fixture total=53;published=0;with_jobs=0;districts=nusa-dua|tanjung-benoa;supabase_configured=false,BLOCKED_BY_DATA,venues.publication_status=published AND venues.jobs non-empty,"publish job-tagged venues, or provide read-only aggregate coverage counts per district/job","venue selection requires published venues with jobs tags; observed fixture has total=53, published=0, with_jobs=0, districts=[nusa-dua|tanjung-benoa]; .env.local absent so no live Supabase read is possible. Coverage was not observed and must not be inferred.",2026-07-29T18:47:12.866Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
