source_record_id,record_name,register_type,risk_class,publication_status,auto_build_allowed,policy_basis,auto_decision_reason,created_at,generator,source_version
OB-INT-0104,Recover from motorbike accident injuries,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0105,Prevent jewelry theft while on Gojek/Grab bike,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0107,Prevent ATM card skimming at Bali ATMs,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0108,Handle monkey bite and get rabies treatment,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0109,Understand Indonesia drug laws and penalties,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0110,Identify fake taxi meters and scams,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0111,Recover from tropical hangover,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0114,Get Visa on Arrival (VoA) vs online eVisa,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0115,Register phone with Indonesian customs,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0116,Avoid tap water and use bottled water safely,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0117,Avoid raw vegetables and salads (food safety),HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0126,Understand Gojek bike safety (no helmet for passenger),HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0156,Avoid Airbnb double-booking and fake listings,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0157,Spot fake villa listings on Booking/Google,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0158,Rent villa through Facebook groups safely,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0159,Verify villa rental legitimacy before payment,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0160,Deal with villa scams and third-party theft,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0165,Evaluate healing retreat legitimacy,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,override: evaluating retreat legitimacy is fraud-risk guidance (rule table had OVERRIDE),2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0169,Understand Gojek bike helmet safety concerns,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0170,Protect belongings from snatching on Gojek,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0171,Decide on helmet use for Gojek passengers,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0172,Understand traffic fatality rates in Bali,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0173,Learn rip current escape technique,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0174,Understand Bali belly prevention,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0175,Know when to see doctor for Bali belly,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0177,Understand Kopi Luwak coffee scam,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0179,Understand visa extension process,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0180,Handle visa system downtime at immigration,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0181,Solve C1 visa online application issues,HIGH_RISK_GUIDE,LEGAL_REGULATORY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.legal; risk via RISK.LEGAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0182,Get rabies vaccine after monkey bite,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0183,Understand rabies risk from Bali monkeys,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0184,Find travel clinic for vaccinations,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0185,Understand Bali belly medication options,HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0186,Bring Imodium from home (not available),HIGH_RISK_GUIDE,MEDICAL,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0196,Avoid being complacent with valuables,HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0197,Use phone safely on motorbike (don't use),HIGH_RISK_GUIDE,SAFETY,RESEARCH_ONLY,false,04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy: SAFETY/MEDICAL/LEGAL_REGULATORY -> RESEARCH_ONLY,matched TYPE.HIGH_RISK_GUIDE.safety; risk via RISK.SAFETY,2026-07-29T18:30:44.187Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
