source_record_id,external_name,normalized_record_type,risk_class,internal_key,internal_type,internal_source,match_basis,reconciliation_status,auto_decision_reason,created_at,generator,source_version
OB-INT-0014,Choose a romantic dinner in Ubud,CANONICAL_USER_JOB,LOW,date-night,USER_JOB,lib/intents.ts (date_night_special),alias:romantic dinner,PARTIAL,"matched internal 'date-night' via alias ""romantic dinner""; 2 weaker candidate(s): romantic, district-intent-spoke",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0015,Choose a romantic dinner in Uluwatu with sunset view,CHILD_SCENARIO,LOW,date-night,USER_JOB,lib/intents.ts (date_night_special),alias:romantic dinner,PARTIAL,"matched internal 'date-night' via alias ""romantic dinner""; 3 weaker candidate(s): romantic, sunset, district-intent-spoke",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0016,Choose a special-occasion / birthday dinner,CANONICAL_USER_JOB,LOW,special-occasion,OCCASION,lib/intents.ts (special_occasion),alias:birthday,MATCHED,"matched internal 'special-occasion' via alias ""birthday""",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0017,Find a dinner spot without loud music,CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0018,Find a fine-dining tasting-menu experience,CANONICAL_USER_JOB,LOW,worth-the-splurge,DERIVED_COLLECTION,lib/collections.ts,alias:fine-dining,MATCHED,"matched internal 'worth-the-splurge' via alias ""fine-dining""",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0019,Eat after midnight in Canggu,CANONICAL_USER_JOB,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:canggu,PARTIAL,"matched internal 'district-intent-spoke' via alias ""canggu""; 1 weaker candidate(s): after-dark",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0020,Find late-night food in Sanur (limited options),CHILD_SCENARIO,LOW,after-dark,TIME_MODIFIER,lib/catalogue-moments.ts,alias:night,PARTIAL,"matched internal 'after-dark' via alias ""night""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0021,Post-clubbing food run in Canggu / Seminyak,CHILD_SCENARIO,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:canggu,PARTIAL,"matched internal 'district-intent-spoke' via alias ""canggu""; 1 weaker candidate(s): after-dark",2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0022,Find a really good specialty coffee shop,CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0023,Find coffee spot open before 7 AM,CHILD_SCENARIO,OPERATIONAL,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.406Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0024,Find quiet cafe suitable for Zoom / video calls,CANONICAL_USER_JOB,LOW,work-session,USER_JOB,lib/moments.ts,alias:remote work,MATCHED,"matched internal 'work-session' via alias ""remote work""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0025,Find laptop-friendly cafe with power outlets and fast Wi-Fi,CANONICAL_USER_JOB,LOW,work-session,USER_JOB,lib/moments.ts,alias:remote work,MATCHED,"job/capability pair resolved by fixed decision: parent 'work-session' (USER_JOB), capability retained as requirement (work-friendly)",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0026,"Buy a coworking day pass (drop-in, no membership)",CANONICAL_USER_JOB,OPERATIONAL,work-session,USER_JOB,lib/moments.ts,alias:remote work,PARTIAL,"matched internal 'work-session' via alias ""remote work""; 1 weaker candidate(s): beach-club",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0027,Find 24/7 coworking for late-shift time zones,CHILD_SCENARIO,OPERATIONAL,work-session,USER_JOB,lib/moments.ts,alias:remote work,MATCHED,"matched internal 'work-session' via alias ""remote work""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0028,Choose a sunset dinner in Uluwatu,CANONICAL_USER_JOB,LOW,sunset,TIME_EVENT,lib/intents.ts (sunset_drinks_view),alias:sunset,PARTIAL,"matched internal 'sunset' via alias ""sunset""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0029,Find a quiet sunset spot away from big beach clubs,CANONICAL_USER_JOB,LOW,sunset,TIME_EVENT,lib/intents.ts (sunset_drinks_view),alias:sunset,PARTIAL,"matched internal 'sunset' via alias ""sunset""; 1 weaker candidate(s): beach-club",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0030,Find sunset spot with sunset happy-hour cocktails,CANONICAL_USER_JOB,LOW,sunset,TIME_EVENT,lib/intents.ts (sunset_drinks_view),alias:sunset,MATCHED,"matched internal 'sunset' via alias ""sunset""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0031,Do Mount Batur sunrise trek,CANONICAL_USER_JOB,LOW,sunrise,TIME_EVENT,lib/catalogue-moments.ts,alias:sunrise,PARTIAL,"matched internal 'sunrise' via alias ""sunrise""; 1 weaker candidate(s): active-day",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0032,Watch sunrise at Sanur beach walk,CANONICAL_USER_JOB,LOW,sunrise,TIME_EVENT,lib/catalogue-moments.ts,alias:sunrise,PARTIAL,"matched internal 'sunrise' via alias ""sunrise""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0033,Do Campuhan Ridge Walk at sunrise,CHILD_SCENARIO,LOW,sunrise,TIME_EVENT,lib/catalogue-moments.ts,alias:sunrise,MATCHED,"matched internal 'sunrise' via alias ""sunrise""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0034,Find what to do in Bali on a rainy day,CANONICAL_USER_JOB,LOW,rainy-day,DAY_SCENARIO,lib/trip-missions.ts,alias:rainy,MATCHED,"matched internal 'rainy-day' via alias ""rainy""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0035,Have a rainy-day backup for Ubud sightseeing plan,CHILD_SCENARIO,LOW,rainy-day,DAY_SCENARIO,lib/trip-missions.ts,alias:rainy,PARTIAL,"matched internal 'rainy-day' via alias ""rainy""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0036,Take a Balinese cooking class indoors when it rains,CHILD_SCENARIO,LOW,rainy-day,DAY_SCENARIO,lib/trip-missions.ts,alias:rainy,MATCHED,"matched internal 'rainy-day' via alias ""rainy""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0037,Find family cafe / restaurant with kids' play area,CANONICAL_USER_JOB,LOW,family-outing,USER_JOB,lib/trip-missions.ts (family),alias:family,MATCHED,"job/capability pair resolved by fixed decision: parent 'family-outing' (USER_JOB), capability retained as requirement (family-easy)",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0038,Choose Canggu vs Sanur for first trip with young kids,CANONICAL_USER_JOB,LOW,family-outing,USER_JOB,lib/trip-missions.ts (family),alias:children,PARTIAL,"matched internal 'family-outing' via alias ""children""; 3 weaker candidate(s): first-time, area-base-fit, district-intent-spoke",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0039,Spend a day at Waterbom Bali with kids,ENTITY_QUERY,LOW,family-outing,USER_JOB,lib/trip-missions.ts (family),alias:with kids,MATCHED,"matched internal 'family-outing' via alias ""with kids""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0040,Find kid-friendly cafe with playground in Seminyak,CHILD_SCENARIO,LOW,family-outing,USER_JOB,lib/trip-missions.ts (family),alias:children,MATCHED,"job/capability pair resolved by fixed decision: parent 'family-outing' (USER_JOB), capability retained as requirement (family-easy, district-intent-spoke)",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0041,Find kid-friendly food when travelling with a baby,CHILD_SCENARIO,LOW,family-outing,USER_JOB,lib/trip-missions.ts (family),alias:children,MATCHED,"matched internal 'family-outing' via alias ""children""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0042,Plan a romantic dinner for couples anywhere in Bali,CHILD_SCENARIO,LOW,date-night,USER_JOB,lib/intents.ts (date_night_special),alias:romantic dinner,PARTIAL,"matched internal 'date-night' via alias ""romantic dinner""; 1 weaker candidate(s): romantic",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0043,Book a couples spa treatment,CANONICAL_USER_JOB,LOW,romantic,MOOD,lib/trip-missions.ts + catalogue tokens,alias:couples,PARTIAL,"matched internal 'romantic' via alias ""couples""; 1 weaker candidate(s): wellness-spa",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0044,Have a private-chef in-villa dinner for two,CANONICAL_USER_JOB,LOW,date-night,USER_JOB,lib/intents.ts (date_night_special),alias:dinner for two,PARTIAL,"matched internal 'date-night' via alias ""dinner for two""; 1 weaker candidate(s): romantic",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0045,Find a private / secluded spot to propose,CANONICAL_USER_JOB,LOW,special-occasion,OCCASION,lib/intents.ts (special_occasion),alias:proposal,MATCHED,"matched internal 'special-occasion' via alias ""proposal""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0046,Hire a proposal / engagement photographer in Bali,CANONICAL_USER_JOB,LOW,special-occasion,OCCASION,lib/intents.ts (special_occasion),alias:proposal,MATCHED,"matched internal 'special-occasion' via alias ""proposal""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0047,Feel safe as a solo female traveller,HIGH_RISK_GUIDE,SAFETY,,,,,UNMATCHED_EXTERNAL,high-risk guidance is RESEARCH_ONLY and intentionally has no product-surface counterpart,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0048,Find social coworking to meet people as a solo nomad,CANONICAL_USER_JOB,LOW,work-session,USER_JOB,lib/moments.ts,alias:coworking,PARTIAL,"matched internal 'work-session' via alias ""coworking""; 1 weaker candidate(s): workation",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0049,Book a solo yoga retreat in Ubud,CANONICAL_USER_JOB,LOW,retreat,TRIP_MISSION,lib/trip-missions.ts,alias:retreat,PARTIAL,"matched internal 'retreat' via alias ""retreat""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0050,Find a big party villa for a bachelorette / birthday group,CANONICAL_USER_JOB,LOW,special-occasion,OCCASION,lib/intents.ts (special_occasion),alias:birthday,PARTIAL,"matched internal 'special-occasion' via alias ""birthday""; 2 weaker candidate(s): group-dinner, night-out",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0051,Choose a birthday dinner / restaurant for a group,CHILD_SCENARIO,LOW,special-occasion,OCCASION,lib/intents.ts (special_occasion),alias:birthday,PARTIAL,"matched internal 'special-occasion' via alias ""birthday""; 1 weaker candidate(s): group-dinner",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0052,Book bottomless Sunday brunch for a group,CANONICAL_USER_JOB,LOW,special-occasion,OCCASION,lib/intents.ts (special_occasion),alias:celebration,PARTIAL,"matched internal 'special-occasion' via alias ""celebration""; 2 weaker candidate(s): brunch, group-dinner",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0053,Book a Balinese traditional massage / spa in Ubud,CANONICAL_USER_JOB,LOW,wellness-spa,DERIVED_COLLECTION,lib/collections.ts,alias:massage,PARTIAL,"matched internal 'wellness-spa' via alias ""massage""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0054,Find affordable clean 1-hour massage anywhere,CANONICAL_USER_JOB,LOW,cheap-and-brilliant,DERIVED_COLLECTION,lib/collections.ts,alias:affordable,PARTIAL,"matched internal 'cheap-and-brilliant' via alias ""affordable""; 1 weaker candidate(s): wellness-spa",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0055,Get a massage after Mount Batur,CHILD_SCENARIO,LOW,wellness-spa,DERIVED_COLLECTION,lib/collections.ts,alias:massage,MATCHED,"matched internal 'wellness-spa' via alias ""massage""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0056,"Recover from Bali belly (what to eat, pharmacy, drinks)",HIGH_RISK_GUIDE,MEDICAL,,,,,UNMATCHED_EXTERNAL,high-risk guidance is RESEARCH_ONLY and intentionally has no product-surface counterpart,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0057,Find safe swimming beach in Sanur for calm water,CANONICAL_USER_JOB,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:sanur,MATCHED,"matched internal 'district-intent-spoke' via alias ""sanur""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0058,Pick a beach club for chill day (not party),CANONICAL_USER_JOB,LOW,beach-club,DERIVED_COLLECTION,lib/collections.ts,alias:beach club,PARTIAL,"matched internal 'beach-club' via alias ""beach club""; 1 weaker candidate(s): night-out",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0059,Buy a hotel day pass (pool for non-guests),CANONICAL_USER_JOB,OPERATIONAL,where-to-stay,USER_JOB,docs/seo/os/intent-registry.json (sanur-where-to-stay),alias:hotel,PARTIAL,"matched internal 'where-to-stay' via alias ""hotel""; 1 weaker candidate(s): beach-club",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0060,Learn to surf as a beginner (safe waves),CANONICAL_USER_JOB,LOW,active-day,DAY_SCENARIO,lib/catalogue-moments.ts,alias:surf,MATCHED,"matched internal 'active-day' via alias ""surf""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0061,Choose beginner surf spot in Uluwatu area,CHILD_SCENARIO,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:uluwatu,PARTIAL,"matched internal 'district-intent-spoke' via alias ""uluwatu""; 1 weaker candidate(s): active-day",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0062,Post-surf smoothie / brunch spot near the break,CANONICAL_USER_JOB,LOW,brunch,USER_JOB,lib/intents.ts (brunch_after_surf),alias:brunch,PARTIAL,"matched internal 'brunch' via alias ""brunch""; 1 weaker candidate(s): active-day",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0063,See major Bali waterfalls in a single day trip,CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0064,Do a day trip to Munduk waterfalls from Ubud,CHILD_SCENARIO,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:ubud,MATCHED,"matched internal 'district-intent-spoke' via alias ""ubud""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0065,Understand temple dress code before visit,EDITORIAL_TOPIC,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0066,Watch Kecak fire dance at Uluwatu Temple,CANONICAL_USER_JOB,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:uluwatu,MATCHED,"matched internal 'district-intent-spoke' via alias ""uluwatu""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0067,Take an authentic Balinese cooking class,CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0068,Do a day trip to Nusa Penida from mainland,CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0069,Go snorkelling / diving in Amed or Nusa Lembongan,CANONICAL_USER_JOB,LOW,active-day,DAY_SCENARIO,lib/catalogue-moments.ts,alias:snorkel,MATCHED,"matched internal 'active-day' via alias ""snorkel""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0070,Do a one-day Ubud loop (rice terrace + waterfall + temple),CANONICAL_USER_JOB,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:ubud,MATCHED,"matched internal 'district-intent-spoke' via alias ""ubud""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0071,Pick luxury honeymoon villa with private pool,CANONICAL_USER_JOB,LOW,worth-the-splurge,DERIVED_COLLECTION,lib/collections.ts,alias:luxury,PARTIAL,"matched internal 'worth-the-splurge' via alias ""luxury""; 1 weaker candidate(s): beach-club",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0072,Book Locavore NXT / Apéritif tasting-menu experience,ENTITY_QUERY,LOW,worth-the-splurge,DERIVED_COLLECTION,lib/collections.ts,alias:luxury,MATCHED,"matched internal 'worth-the-splurge' via alias ""luxury""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0073,Travel Bali on a tight daily budget,CANONICAL_USER_JOB,OPERATIONAL,cheap-and-brilliant,DERIVED_COLLECTION,lib/collections.ts,alias:budget,MATCHED,"matched internal 'cheap-and-brilliant' via alias ""budget""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0074,Find warungs where locals actually eat (cheap authentic),CANONICAL_USER_JOB,OPERATIONAL,local-food,USER_JOB,lib/intents.ts (local_food_calm),alias:warung,PARTIAL,"matched internal 'local-food' via alias ""warung""; 1 weaker candidate(s): cheap-and-brilliant",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0075,Find vegan restaurants in Ubud,CANONICAL_USER_JOB,LOW,vegetarian-and-plant-based,DERIVED_COLLECTION,lib/collections.ts,alias:vegan,PARTIAL,"matched internal 'vegetarian-and-plant-based' via alias ""vegan""; 1 weaker candidate(s): district-intent-spoke",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0076,Find vegetarian options at local warungs,CHILD_SCENARIO,LOW,local-food,USER_JOB,lib/intents.ts (local_food_calm),alias:warung,PARTIAL,"matched internal 'local-food' via alias ""warung""; 1 weaker candidate(s): vegetarian-and-plant-based",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0077,"Find vegan / vegetarian spots outside Ubud (Canggu, Uluwatu, Seminyak)",CHILD_SCENARIO,LOW,district-intent-spoke,EDITORIAL_PROJECTION,app/bali/[district]/[intent]/page.tsx,alias:canggu,PARTIAL,"matched internal 'district-intent-spoke' via alias ""canggu""; 1 weaker candidate(s): vegetarian-and-plant-based",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0078,Find açaí / smoothie bowls in Bali,CANONICAL_USER_JOB,LOW,desserts,DERIVED_COLLECTION,lib/collections.ts,alias:smoothie bowl,MATCHED,"matched internal 'desserts' via alias ""smoothie bowl""",2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0079,Find gluten-free / celiac-safe restaurants,CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0080,Find halal restaurants for Muslim travellers,CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0081,Find wheelchair-accessible places in Bali (limited),CANONICAL_USER_JOB,LOW,,,,,UNMATCHED_EXTERNAL,no internal concept alias matched; candidate remains external-only,2026-07-29T18:35:16.407Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
