source_record_id,original_name,original_domain,original_status,original_confidence,source_document,source_line,raw_notes,parse_status,parse_error,created_at,generator,source_version
OB-INT-0001,Find where to go on arrival day when jet-lagged,Arrival and first day,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,13,| OB-INT-0001 | Find where to go on arrival day when jet-lagged | Arrival and first day | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.301Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0014,Choose a romantic dinner in Ubud,Dinner,EVIDENCE_STRONG,95,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,26,| OB-INT-0014 | Choose a romantic dinner in Ubud | Dinner | EVIDENCE_STRONG | 95 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0015,Choose a romantic dinner in Uluwatu with sunset view,Dinner,EVIDENCE_STRONG,94,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,27,| OB-INT-0015 | Choose a romantic dinner in Uluwatu with sunset view | Dinner | EVIDENCE_STRONG | 94 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0016,Choose a special-occasion / birthday dinner,Dinner,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,28,| OB-INT-0016 | Choose a special-occasion / birthday dinner | Dinner | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0017,Find a dinner spot without loud music,Dinner,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,29,| OB-INT-0017 | Find a dinner spot without loud music | Dinner | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0018,Find a fine-dining tasting-menu experience,Dinner,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,30,| OB-INT-0018 | Find a fine-dining tasting-menu experience | Dinner | EVIDENCE_STRONG | 90 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0019,Eat after midnight in Canggu,Late-night food,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,31,| OB-INT-0019 | Eat after midnight in Canggu | Late-night food | EVIDENCE_STRONG | 90 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0020,Find late-night food in Sanur (limited options),Late-night food,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,32,| OB-INT-0020 | Find late-night food in Sanur (limited options) | Late-night food | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0021,Post-clubbing food run in Canggu / Seminyak,Late-night food,EVIDENCE_MODERATE,74,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,33,| OB-INT-0021 | Post-clubbing food run in Canggu / Seminyak | Late-night food | EVIDENCE_MODERATE | 74 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0022,Find a really good specialty coffee shop,Coffee,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,34,| OB-INT-0022 | Find a really good specialty coffee shop | Coffee | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0023,Find coffee spot open before 7 AM,Coffee,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,35,| OB-INT-0023 | Find coffee spot open before 7 AM | Coffee | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0024,Find quiet cafe suitable for Zoom / video calls,Remote work,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,36,| OB-INT-0024 | Find quiet cafe suitable for Zoom / video calls | Remote work | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0025,Find laptop-friendly cafe with power outlets and fast Wi-Fi,Remote work,EVIDENCE_STRONG,94,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,37,| OB-INT-0025 | Find laptop-friendly cafe with power outlets and fast Wi-Fi | Remote work | EVIDENCE_STRONG | 94 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0026,"Buy a coworking day pass (drop-in, no membership)",Remote work,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,38,"| OB-INT-0026 | Buy a coworking day pass (drop-in, no membership) | Remote work | EVIDENCE_STRONG | 90 |",OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0027,Find 24/7 coworking for late-shift time zones,Remote work,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,39,| OB-INT-0027 | Find 24/7 coworking for late-shift time zones | Remote work | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0028,Choose a sunset dinner in Uluwatu,Sunset,EVIDENCE_STRONG,93,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,40,| OB-INT-0028 | Choose a sunset dinner in Uluwatu | Sunset | EVIDENCE_STRONG | 93 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0029,Find a quiet sunset spot away from big beach clubs,Sunset,EVIDENCE_STRONG,85,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,41,| OB-INT-0029 | Find a quiet sunset spot away from big beach clubs | Sunset | EVIDENCE_STRONG | 85 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0030,Find sunset spot with sunset happy-hour cocktails,Sunset,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,42,| OB-INT-0030 | Find sunset spot with sunset happy-hour cocktails | Sunset | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0031,Do Mount Batur sunrise trek,Sunrise,EVIDENCE_STRONG,95,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,43,| OB-INT-0031 | Do Mount Batur sunrise trek | Sunrise | EVIDENCE_STRONG | 95 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0032,Watch sunrise at Sanur beach walk,Sunrise,EVIDENCE_STRONG,85,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,44,| OB-INT-0032 | Watch sunrise at Sanur beach walk | Sunrise | EVIDENCE_STRONG | 85 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0033,Do Campuhan Ridge Walk at sunrise,Sunrise,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,45,| OB-INT-0033 | Do Campuhan Ridge Walk at sunrise | Sunrise | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0034,Find what to do in Bali on a rainy day,Rainy day,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,46,| OB-INT-0034 | Find what to do in Bali on a rainy day | Rainy day | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0035,Have a rainy-day backup for Ubud sightseeing plan,Rainy day,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,47,| OB-INT-0035 | Have a rainy-day backup for Ubud sightseeing plan | Rainy day | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0036,Take a Balinese cooking class indoors when it rains,Rainy day,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,48,| OB-INT-0036 | Take a Balinese cooking class indoors when it rains | Rainy day | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0037,Find family cafe / restaurant with kids' play area,Families with children,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,49,| OB-INT-0037 | Find family cafe / restaurant with kids' play area | Families with children | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0038,Choose Canggu vs Sanur for first trip with young kids,Families with children,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,50,| OB-INT-0038 | Choose Canggu vs Sanur for first trip with young kids | Families with children | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0039,Spend a day at Waterbom Bali with kids,Families with children,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,51,| OB-INT-0039 | Spend a day at Waterbom Bali with kids | Families with children | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0040,Find kid-friendly cafe with playground in Seminyak,Families with children,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,52,| OB-INT-0040 | Find kid-friendly cafe with playground in Seminyak | Families with children | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0041,Find kid-friendly food when travelling with a baby,Families with children,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,53,| OB-INT-0041 | Find kid-friendly food when travelling with a baby | Families with children | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0042,Plan a romantic dinner for couples anywhere in Bali,Couples and romance,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,54,| OB-INT-0042 | Plan a romantic dinner for couples anywhere in Bali | Couples and romance | EVIDENCE_STRONG | 90 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0043,Book a couples spa treatment,Couples and romance,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,55,| OB-INT-0043 | Book a couples spa treatment | Couples and romance | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0044,Have a private-chef in-villa dinner for two,Couples and romance,EVIDENCE_STRONG,85,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,56,| OB-INT-0044 | Have a private-chef in-villa dinner for two | Couples and romance | EVIDENCE_STRONG | 85 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0045,Find a private / secluded spot to propose,Proposals and anniversaries,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,57,| OB-INT-0045 | Find a private / secluded spot to propose | Proposals and anniversaries | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0046,Hire a proposal / engagement photographer in Bali,Proposals and anniversaries,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,58,| OB-INT-0046 | Hire a proposal / engagement photographer in Bali | Proposals and anniversaries | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0047,Feel safe as a solo female traveller,Solo travelers,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,59,| OB-INT-0047 | Feel safe as a solo female traveller | Solo travelers | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0048,Find social coworking to meet people as a solo nomad,Solo travelers,EVIDENCE_STRONG,85,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,60,| OB-INT-0048 | Find social coworking to meet people as a solo nomad | Solo travelers | EVIDENCE_STRONG | 85 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0049,Book a solo yoga retreat in Ubud,Solo travelers,EVIDENCE_STRONG,85,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,61,| OB-INT-0049 | Book a solo yoga retreat in Ubud | Solo travelers | EVIDENCE_STRONG | 85 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0050,Find a big party villa for a bachelorette / birthday group,Groups and celebrations,EVIDENCE_STRONG,85,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,62,| OB-INT-0050 | Find a big party villa for a bachelorette / birthday group | Groups and celebrations | EVIDENCE_STRONG | 85 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0051,Choose a birthday dinner / restaurant for a group,Groups and celebrations,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,63,| OB-INT-0051 | Choose a birthday dinner / restaurant for a group | Groups and celebrations | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0052,Book bottomless Sunday brunch for a group,Groups and celebrations,EVIDENCE_MODERATE,78,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,64,| OB-INT-0052 | Book bottomless Sunday brunch for a group | Groups and celebrations | EVIDENCE_MODERATE | 78 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0053,Book a Balinese traditional massage / spa in Ubud,Wellness and spa,EVIDENCE_STRONG,95,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,65,| OB-INT-0053 | Book a Balinese traditional massage / spa in Ubud | Wellness and spa | EVIDENCE_STRONG | 95 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0054,Find affordable clean 1-hour massage anywhere,Wellness and spa,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,66,| OB-INT-0054 | Find affordable clean 1-hour massage anywhere | Wellness and spa | EVIDENCE_STRONG | 90 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0055,Get a massage after Mount Batur,Recovery,EVIDENCE_STRONG,78,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,67,| OB-INT-0055 | Get a massage after Mount Batur | Recovery | EVIDENCE_STRONG | 78 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0056,"Recover from Bali belly (what to eat, pharmacy, drinks)",Recovery,EVIDENCE_STRONG,95,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,68,"| OB-INT-0056 | Recover from Bali belly (what to eat, pharmacy, drinks) | Recovery | EVIDENCE_STRONG | 95 |",OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0057,Find safe swimming beach in Sanur for calm water,Beaches and swimming,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,69,| OB-INT-0057 | Find safe swimming beach in Sanur for calm water | Beaches and swimming | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0058,Pick a beach club for chill day (not party),Beaches and swimming,EVIDENCE_STRONG,88,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,70,| OB-INT-0058 | Pick a beach club for chill day (not party) | Beaches and swimming | EVIDENCE_STRONG | 88 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0059,Buy a hotel day pass (pool for non-guests),Beaches and swimming,EVIDENCE_STRONG,82,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,71,| OB-INT-0059 | Buy a hotel day pass (pool for non-guests) | Beaches and swimming | EVIDENCE_STRONG | 82 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0060,Learn to surf as a beginner (safe waves),Surfing,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,72,| OB-INT-0060 | Learn to surf as a beginner (safe waves) | Surfing | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0061,Choose beginner surf spot in Uluwatu area,Surfing,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,73,| OB-INT-0061 | Choose beginner surf spot in Uluwatu area | Surfing | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0062,Post-surf smoothie / brunch spot near the break,Surfing,EVIDENCE_MODERATE,76,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,74,| OB-INT-0062 | Post-surf smoothie / brunch spot near the break | Surfing | EVIDENCE_MODERATE | 76 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0063,See major Bali waterfalls in a single day trip,Waterfalls and nature,EVIDENCE_STRONG,90,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,75,| OB-INT-0063 | See major Bali waterfalls in a single day trip | Waterfalls and nature | EVIDENCE_STRONG | 90 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0064,Do a day trip to Munduk waterfalls from Ubud,Waterfalls and nature,EVIDENCE_STRONG,84,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,76,| OB-INT-0064 | Do a day trip to Munduk waterfalls from Ubud | Waterfalls and nature | EVIDENCE_STRONG | 84 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0065,Understand temple dress code before visit,Temples and culture,EVIDENCE_STRONG,92,docs/intent-os/autopilot/inputs/external/OTHER_BALI_EXTERNAL_INTENTS_0001_0100.md,77,| OB-INT-0065 | Understand temple dress code before visit | Temples and culture | EVIDENCE_STRONG | 92 |,OK,,2026-07-29T18:04:40.302Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
