canonical_intent_id,canonical_name,user_job_statement,domain,source_record_ids,aliases,child_scenarios,allowed_modifiers,required_venue_capabilities,required_data_fields,publication_risk,demand_evidence_status,answer_evidence_requirement,internal_support_status,recommended_surfaces,single_job_candidate,data_readiness,lifecycle_status,auto_decision_reason,created_at,generator,source_version
OB-CAN-0011,Choose a romantic dinner in Ubud,"As a traveller in Bali, I want to choose a romantic dinner in Ubud.",Dinner,OB-INT-0014;OB-INT-0015;OB-INT-0042,Choose a romantic dinner in Uluwatu with sunset view;Plan a romantic dinner for couples anywhere in Bali,OB-INT-0015;OB-INT-0042,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: date_night_special READY in 7 districts, 82 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0012,Choose a special-occasion / birthday dinner,"As a traveller in Bali, I want to choose a special-occasion / birthday dinner.",Dinner,OB-INT-0016;OB-INT-0051,Choose a birthday dinner / restaurant for a group,OB-INT-0051,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: special_occasion READY in 7 districts, 51 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0013,Find a dinner spot without loud music,"As a traveller in Bali, I want to find a dinner spot without loud music.",Dinner,OB-INT-0017,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,UNMATCHED_EXTERNAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key unmatched); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0014,Find a fine-dining tasting-menu experience,"As a traveller in Bali, I want to find a fine-dining tasting-menu experience.",Dinner,OB-INT-0018,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key worth-the-splurge); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0015,Eat after midnight in Canggu,"As a traveller in Bali, I want to eat after midnight in Canggu.",Late-night food,OB-INT-0019;OB-INT-0020;OB-INT-0021,Find late-night food in Sanur (limited options);Post-clubbing food run in Canggu / Seminyak,OB-INT-0020;OB-INT-0021,after-dark,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key district-intent-spoke); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0016,Find a really good specialty coffee shop,"As a traveller in Bali, I want to find a really good specialty coffee shop.",Coffee,OB-INT-0022;OB-INT-0023,Find coffee spot open before 7 AM,OB-INT-0023,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,UNMATCHED_EXTERNAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key unmatched); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0017,Find quiet cafe suitable for Zoom / video calls,"As a traveller in Bali, I want to find quiet cafe suitable for Zoom / video calls.",Remote work,OB-INT-0024,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: quiet_work_cafe READY in 7 districts, 52 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0018,Find laptop-friendly cafe with power outlets and fast Wi-Fi,"As a traveller in Bali, I want to find laptop-friendly cafe with power outlets and fast Wi-Fi.",Remote work,OB-INT-0025,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: quiet_work_cafe READY in 7 districts, 52 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0019,"Buy a coworking day pass (drop-in, no membership)","As a traveller in Bali, I want to buy a coworking day pass (drop-in, no membership).",Remote work,OB-INT-0026;OB-INT-0027,Find 24/7 coworking for late-shift time zones,OB-INT-0027,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,OPERATIONAL,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: quiet_work_cafe READY in 7 districts, 52 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0020,Choose a sunset dinner in Uluwatu,"As a traveller in Bali, I want to choose a sunset dinner in Uluwatu.",Sunset,OB-INT-0028,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: sunset_drinks_view READY in 6 districts, 40 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0021,Find a quiet sunset spot away from big beach clubs,"As a traveller in Bali, I want to find a quiet sunset spot away from big beach clubs.",Sunset,OB-INT-0029,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: sunset_drinks_view READY in 6 districts, 40 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0022,Find sunset spot with sunset happy-hour cocktails,"As a traveller in Bali, I want to find sunset spot with sunset happy-hour cocktails.",Sunset,OB-INT-0030,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: sunset_drinks_view READY in 6 districts, 40 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0023,Do Mount Batur sunrise trek,"As a traveller in Bali, I want to do Mount Batur sunrise trek.",Sunrise,OB-INT-0031,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key sunrise); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0024,Watch sunrise at Sanur beach walk,"As a traveller in Bali, I want to watch sunrise at Sanur beach walk.",Sunrise,OB-INT-0032;OB-INT-0033,Do Campuhan Ridge Walk at sunrise,OB-INT-0033,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key sunrise); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0025,Find what to do in Bali on a rainy day,"As a traveller in Bali, I want to find what to do in Bali on a rainy day.",Rainy day,OB-INT-0034;OB-INT-0035;OB-INT-0036;OB-INT-0093;OB-INT-0098,Have a rainy-day backup for Ubud sightseeing plan;Take a Balinese cooking class indoors when it rains;Have rainy-hour backup activity within 15 min;Choose activity for kids on a rainy afternoon,OB-INT-0035;OB-INT-0036;OB-INT-0093;OB-INT-0098,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key rainy-day); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0026,Find family cafe / restaurant with kids' play area,"As a traveller in Bali, I want to find family cafe / restaurant with kids' play area.",Families with children,OB-INT-0037;OB-INT-0040;OB-INT-0041,Find kid-friendly cafe with playground in Seminyak;Find kid-friendly food when travelling with a baby,OB-INT-0040;OB-INT-0041,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: family_early_dinner READY in 9 districts, 54 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0027,Choose Canggu vs Sanur for first trip with young kids,"As a traveller in Bali, I want to choose Canggu vs Sanur for first trip with young kids.",Families with children,OB-INT-0038,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: family_early_dinner READY in 9 districts, 54 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0028,Spend a day at Waterbom Bali with kids,"As a traveller in Bali, I want to spend a day at Waterbom Bali with kids.",Families with children,OB-INT-0039,,,,,venues.publication_status;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_SEARCH,true,READY,ACTIVE,"live snapshot: family_early_dinner READY in 9 districts, 54 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0029,Book a couples spa treatment,"As a traveller in Bali, I want to book a couples spa treatment.",Couples and romance,OB-INT-0043,,,romantic,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key romantic); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0030,Have a private-chef in-villa dinner for two,"As a traveller in Bali, I want to have a private-chef in-villa dinner for two.",Couples and romance,OB-INT-0044,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: date_night_special READY in 7 districts, 82 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0031,Find a private / secluded spot to propose,"As a traveller in Bali, I want to find a private / secluded spot to propose.",Proposals and anniversaries,OB-INT-0045;OB-INT-0099,Find a private / secluded villa dining set-up for anniversary,OB-INT-0099,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: special_occasion READY in 7 districts, 51 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0032,Hire a proposal / engagement photographer in Bali,"As a traveller in Bali, I want to hire a proposal / engagement photographer in Bali.",Proposals and anniversaries,OB-INT-0046,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: special_occasion READY in 7 districts, 51 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0033,Feel safe as a solo female traveller,"As a traveller in Bali, I want to feel safe as a solo female traveller.",Solo travelers,OB-INT-0047,,,,,authoritative_source;reviewed_by;reviewed_at,SAFETY,EVIDENCE_STRONG,AUTHORITATIVE_SOURCE_REQUIRED,UNMATCHED_EXTERNAL,NO_BUILD,false,HIGH_RISK_NOT_READY,RESEARCH_ONLY,risk_class=SAFETY: 04_AUTONOMOUS_DECISION_POLICY.yaml risk_policy sets auto_build_allowed=false and publication_status=RESEARCH_ONLY for SAFETY/MEDICAL/LEGAL_REGULATORY,2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0034,Find social coworking to meet people as a solo nomad,"As a traveller in Bali, I want to find social coworking to meet people as a solo nomad.",Solo travelers,OB-INT-0048,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: quiet_work_cafe READY in 7 districts, 52 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0035,Book a solo yoga retreat in Ubud,"As a traveller in Bali, I want to book a solo yoga retreat in Ubud.",Solo travelers,OB-INT-0049,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key retreat); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0036,Find a big party villa for a bachelorette / birthday group,"As a traveller in Bali, I want to find a big party villa for a bachelorette / birthday group.",Groups and celebrations,OB-INT-0050,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: special_occasion READY in 7 districts, 51 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0037,Book bottomless Sunday brunch for a group,"As a traveller in Bali, I want to book bottomless Sunday brunch for a group.",Groups and celebrations,OB-INT-0052,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_MODERATE,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,READY,ACTIVE,"live snapshot: special_occasion READY in 7 districts, 51 published venues",2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0038,Book a Balinese traditional massage / spa in Ubud,"As a traveller in Bali, I want to book a Balinese traditional massage / spa in Ubud.",Wellness and spa,OB-INT-0053,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key wellness-spa); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0039,Find affordable clean 1-hour massage anywhere,"As a traveller in Bali, I want to find affordable clean 1-hour massage anywhere.",Wellness and spa,OB-INT-0054;OB-INT-0055,Get a massage after Mount Batur,OB-INT-0055,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key cheap-and-brilliant); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0040,Find safe swimming beach in Sanur for calm water,"As a traveller in Bali, I want to find safe swimming beach in Sanur for calm water.",Beaches and swimming,OB-INT-0057,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key district-intent-spoke); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0041,Pick a beach club for chill day (not party),"As a traveller in Bali, I want to pick a beach club for chill day (not party).",Beaches and swimming,OB-INT-0058,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key beach-club); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0042,Buy a hotel day pass (pool for non-guests),"As a traveller in Bali, I want to buy a hotel day pass (pool for non-guests).",Beaches and swimming,OB-INT-0059,,,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,OPERATIONAL,EVIDENCE_STRONG,EDITORIAL_VERIFIED,PARTIAL,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key where-to-stay); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0043,Learn to surf as a beginner (safe waves),"As a traveller in Bali, I want to learn to surf as a beginner (safe waves).",Surfing,OB-INT-0060;OB-INT-0061,Choose beginner surf spot in Uluwatu area,OB-INT-0061,,,venues.publication_status;venues.jobs;venues.district;venues.name;venues.slug,LOW,EVIDENCE_STRONG,EDITORIAL_VERIFIED,MATCHED,PLACES_FILTER,true,BLOCKED_BY_DATA,ACTIVE,no venue jobs slug covers this intent (internal key active-day); live data carries only [brunch_after_surf|date_night_special|sunset_drinks_view|family_early_dinner|group_dinner_share|special_occasion|quiet_work_cafe|local_food_calm|just_landed_easy_dinner],2026-07-29T18:55:01.732Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
