source_record_id,original_name,original_domain,original_status,original_confidence,normalized_record_type,parent_source_record_id,risk_class,decision_rule,auto_decision_reason,created_at,generator,source_version
OB-INT-0012,Have a lunch with a view (rice field / cliff / ocean),Lunch,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0013,Order food to villa via Grab/Gojek when tired,Lunch,EVIDENCE_STRONG,86,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0014,Choose a romantic dinner in Ubud,Dinner,EVIDENCE_STRONG,95,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0015,Choose a romantic dinner in Uluwatu with sunset view,Dinner,EVIDENCE_STRONG,94,CHILD_SCENARIO,OB-INT-0014,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0016,Choose a special-occasion / birthday dinner,Dinner,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0017,Find a dinner spot without loud music,Dinner,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0018,Find a fine-dining tasting-menu experience,Dinner,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0019,Eat after midnight in Canggu,Late-night food,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0020,Find late-night food in Sanur (limited options),Late-night food,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0019,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0021,Post-clubbing food run in Canggu / Seminyak,Late-night food,EVIDENCE_MODERATE,74,CHILD_SCENARIO,OB-INT-0019,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0022,Find a really good specialty coffee shop,Coffee,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0023,Find coffee spot open before 7 AM,Coffee,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0022,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0024,Find quiet cafe suitable for Zoom / video calls,Remote work,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0025,Find laptop-friendly cafe with power outlets and fast Wi-Fi,Remote work,EVIDENCE_STRONG,94,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0026,"Buy a coworking day pass (drop-in, no membership)",Remote work,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0027,Find 24/7 coworking for late-shift time zones,Remote work,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0026,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0028,Choose a sunset dinner in Uluwatu,Sunset,EVIDENCE_STRONG,93,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0029,Find a quiet sunset spot away from big beach clubs,Sunset,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0030,Find sunset spot with sunset happy-hour cocktails,Sunset,EVIDENCE_STRONG,84,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0031,Do Mount Batur sunrise trek,Sunrise,EVIDENCE_STRONG,95,CANONICAL_USER_JOB,,LOW,OVERRIDE,"override: Mount Batur sunrise trek is a bookable activity job, not a lookup (rule table had OVERRIDE)",2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0032,Watch sunrise at Sanur beach walk,Sunrise,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0033,Do Campuhan Ridge Walk at sunrise,Sunrise,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0032,LOW,OVERRIDE,override: Campuhan at sunrise is a district-specific instance of the sunrise-walk job (rule table had OVERRIDE),2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0034,Find what to do in Bali on a rainy day,Rainy day,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0035,Have a rainy-day backup for Ubud sightseeing plan,Rainy day,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0034,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0036,Take a Balinese cooking class indoors when it rains,Rainy day,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0034,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0037,Find family cafe / restaurant with kids' play area,Families with children,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0038,Choose Canggu vs Sanur for first trip with young kids,Families with children,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0039,Spend a day at Waterbom Bali with kids,Families with children,EVIDENCE_STRONG,88,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0040,Find kid-friendly cafe with playground in Seminyak,Families with children,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0037,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0041,Find kid-friendly food when travelling with a baby,Families with children,EVIDENCE_STRONG,82,CHILD_SCENARIO,OB-INT-0037,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0042,Plan a romantic dinner for couples anywhere in Bali,Couples and romance,EVIDENCE_STRONG,90,CHILD_SCENARIO,OB-INT-0014,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0043,Book a couples spa treatment,Couples and romance,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0044,Have a private-chef in-villa dinner for two,Couples and romance,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0045,Find a private / secluded spot to propose,Proposals and anniversaries,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0046,Hire a proposal / engagement photographer in Bali,Proposals and anniversaries,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0047,Feel safe as a solo female traveller,Solo travelers,EVIDENCE_STRONG,92,HIGH_RISK_GUIDE,,SAFETY,OVERRIDE,override: solo female safety is personal-safety guidance (rule table had OVERRIDE),2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0048,Find social coworking to meet people as a solo nomad,Solo travelers,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0049,Book a solo yoga retreat in Ubud,Solo travelers,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.181Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0050,Find a big party villa for a bachelorette / birthday group,Groups and celebrations,EVIDENCE_STRONG,85,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0051,Choose a birthday dinner / restaurant for a group,Groups and celebrations,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0016,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0052,Book bottomless Sunday brunch for a group,Groups and celebrations,EVIDENCE_MODERATE,78,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0053,Book a Balinese traditional massage / spa in Ubud,Wellness and spa,EVIDENCE_STRONG,95,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0054,Find affordable clean 1-hour massage anywhere,Wellness and spa,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0055,Get a massage after Mount Batur,Recovery,EVIDENCE_STRONG,78,CHILD_SCENARIO,OB-INT-0054,LOW,OVERRIDE,"override: post-trek massage is a context-specific instance of the massage job, not an entity lookup (rule table had OVERRIDE)",2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0056,"Recover from Bali belly (what to eat, pharmacy, drinks)",Recovery,EVIDENCE_STRONG,95,HIGH_RISK_GUIDE,OB-INT-0174,MEDICAL,TYPE.HIGH_RISK_GUIDE.medical,matched TYPE.HIGH_RISK_GUIDE.medical; risk via RISK.MEDICAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0057,Find safe swimming beach in Sanur for calm water,Beaches and swimming,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0058,Pick a beach club for chill day (not party),Beaches and swimming,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0059,Buy a hotel day pass (pool for non-guests),Beaches and swimming,EVIDENCE_STRONG,82,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0060,Learn to surf as a beginner (safe waves),Surfing,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0061,Choose beginner surf spot in Uluwatu area,Surfing,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0060,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0062,Post-surf smoothie / brunch spot near the break,Surfing,EVIDENCE_MODERATE,76,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0063,See major Bali waterfalls in a single day trip,Waterfalls and nature,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,OVERRIDE,override: multi-waterfall day trip is a planning job despite naming no single entity (rule table had OVERRIDE),2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0064,Do a day trip to Munduk waterfalls from Ubud,Waterfalls and nature,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0063,LOW,OVERRIDE,override: Munduk-from-Ubud is a route-specific instance of the waterfall day trip (rule table had OVERRIDE),2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0065,Understand temple dress code before visit,Temples and culture,EVIDENCE_STRONG,92,EDITORIAL_TOPIC,,LOW,OVERRIDE,override: temple dress code is etiquette guidance with no venue outcome (rule table had OVERRIDE),2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0066,Watch Kecak fire dance at Uluwatu Temple,Temples and culture,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,LOW,OVERRIDE,override: Kecak at Uluwatu is a scheduled experience booking job (rule table had OVERRIDE),2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0067,Take an authentic Balinese cooking class,Temples and culture,EVIDENCE_STRONG,88,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0068,Do a day trip to Nusa Penida from mainland,Day trips,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,OVERRIDE,override: Nusa Penida day trip is a planning job (rule table had OVERRIDE),2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0069,Go snorkelling / diving in Amed or Nusa Lembongan,Day trips,EVIDENCE_STRONG,84,CANONICAL_USER_JOB,,LOW,OVERRIDE,override: snorkelling/diving day trip is a planning job (rule table had OVERRIDE),2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0070,Do a one-day Ubud loop (rice terrace + waterfall + temple),Day trips,EVIDENCE_STRONG,84,CANONICAL_USER_JOB,,LOW,OVERRIDE,"override: Ubud loop is an itinerary job, not an entity lookup (rule table had OVERRIDE)",2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0071,Pick luxury honeymoon villa with private pool,Luxury,EVIDENCE_STRONG,92,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0072,Book Locavore NXT / Apéritif tasting-menu experience,Luxury,EVIDENCE_STRONG,88,ENTITY_QUERY,,LOW,TYPE.ENTITY_QUERY,matched TYPE.ENTITY_QUERY; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0073,Travel Bali on a tight daily budget,Budget travel,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0074,Find warungs where locals actually eat (cheap authentic),Budget travel,EVIDENCE_STRONG,90,CANONICAL_USER_JOB,,OPERATIONAL,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.OPERATIONAL,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0075,Find vegan restaurants in Ubud,Vegan and vegetarian,EVIDENCE_STRONG,95,CANONICAL_USER_JOB,,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-INT-0076,Find vegetarian options at local warungs,Vegan and vegetarian,EVIDENCE_STRONG,84,CHILD_SCENARIO,OB-INT-0075,LOW,TYPE.CANONICAL_USER_JOB,matched TYPE.CANONICAL_USER_JOB; risk via RISK.DEFAULT_LOW; has parent -> CHILD_SCENARIO,2026-07-29T18:30:44.182Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
