canonical_intent_id,canonical_name,serp_status,query_variants,serp_intent,top_urls,interactive_tools_ranking,content_format,market,seasonality,search_volume,zero_click_risk,cannibalization_risk,serp_opportunity_score,rationale,observed_at,generator,source_version
OB-CAN-0012,Choose a special-occasion / birthday dinner,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0026,Find family cafe / restaurant with kids' play area,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0031,Find a private / secluded spot to propose,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0021,Find a quiet sunset spot away from big beach clubs,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0022,Find sunset spot with sunset happy-hour cocktails,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0030,Have a private-chef in-villa dinner for two,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0034,Find social coworking to meet people as a solo nomad,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0055,Find warungs where locals actually eat (cheap authentic),UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0002,Choose first-night dinner near landing area,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0113,Photograph moon above airport runway (4-5 AM),UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0032,Hire a proposal / engagement photographer in Bali,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0036,Find a big party villa for a bachelorette / birthday group,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0028,Spend a day at Waterbom Bali with kids,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0027,Choose Canggu vs Sanur for first trip with young kids,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0044,Post-surf smoothie / brunch spot near the break,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
OB-CAN-0037,Book bottomless Sunday brunch for a group,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,SERP not researched in this run; scored 0 rather than estimated (unknown_search_volume: UNKNOWN),2026-07-29T18:58:09.067Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
