"recommendation","canonical_carrier","existing_task","current_implementation_status","files_components_routes_involved","data_dependency","migration_requirement","regression_risk","recommended_next_action","acceptance_criteria"
"Something changed? issue reporting","/places/[slug]","T3/T7 P0","MISSING","app/places/[slug]/page.tsx; /support is generic only","Venue slug; canonical URL; issue category; operational owner","MIGRATION_REQUIRED unless an approved external intake carrier is chosen; no issue table/event exists","HIGH: PII, moderation, support-boundary and duplicate intake","Do not add table in Gate 0; first approve carrier, retention, owner and event contract","Prefilled name/URL/category; clear support boundary; issue_opened/submitted events; rate limit; no booking dispute ownership"
"Confirmed extras","Existing perks/Offer legacy layer on /places/[slug]","T3/T6 / P1_DEFERRED","PARTIAL_BUT_BLOCKED","public.perks; perk_offer_confirmations; app/places/[slug]/page.tsx; components/VenueCard.tsx; /v/[venue]/redeem","title; terms; publication_status; verified_at; expires_at; confirmation evidence; redemption","MIGRATION_REQUIRED to canonical Offer fields: benefit/conditions/dates/source/status/method/review date","CRITICAL: money model, stale offers and rank contamination","Do not implement now; create Current-to-Target mapping after canonical documents are supplied","Venue-confirmed; conditions before use; stale auto-hide; no membership implication; no ranking effect"
"Quick claim/update two-field entry","/for-venues plus /onboard/[token] and /partner/claim/[token]","T6","PARTIAL","app/for-venues/page.tsx; components/VenueSubmissionForm.tsx; app/api/venue-submission/route.ts; app/onboard/[token]; partner claims","Current venue search; WhatsApp; memberships; onboarding tokens; duplicate handling","MIGRATION_UNKNOWN pending canonical organization/place claim model","HIGH: current new-listing form requires four contact channels and is not a two-field lookup","Reuse onboarding/claim mechanisms; add a search-first UI only after authorization and duplicate-branch tests","Two-field start; no edit access granted; exact/variant/branch/claimed/new cases handled with audit trail"
"Partner report sample using real events only","/for-venues and partner analytics section","T6 / P1_DEFERRED","PARTIAL","app/for-venues/page.tsx; app/partner/venues/[venue]/[section]/page.tsx; lib/types.ts; events table","venue views; saves; direction/booking/offer/QR events; confirmation outcomes","NONE for fictional UI sample; analytics mapping required","HIGH: reporting intent as visits/revenue","Defer implementation; first reconcile event names and remove unsupported metric implications","Clearly sample/aggregate; clicks labelled intent; bookings/visits/revenue only when confirmed outcome exists"
"Money model wording","/for-venues; /villas; partner surfaces","T6/T7","CONFLICT","app/for-venues/page.tsx; components/VenueSubmissionForm.tsx; docs/money-model.md; lib/types.ts; public.venues.is_sponsored","Fixed fee per confirmed seated reservation only","NO SCHEMA CHANGE IN T0; Decision Log amendment required for any other product","CRITICAL: '2 months free' implies a paid post-trial listing; sponsored field/runtime contradicts disabled canon","MONEY_MODEL_CONFLICT; No commercial copy changed; Decision Log amendment required","All public copy matches sole seated-booking fee; no listing fee/trial implication; sponsored/pay-to-rank disabled and absent from public contracts"
"Reuse visual primitives instead of parallel family","Existing PlaceCard/QuickDecision/StartYourShortlist/Plan result-triptych","T3/T4/T5/T8","PARTIAL","components/PlaceCard.tsx; lib/quick-decision.ts; components/StartYourShortlist.tsx; app/PlanView.tsx","Existing place/route read models","NONE","MEDIUM: duplicate names/contracts; addendum names DecisionDemo/ResultTriptych are not standalone components","Inventory and formalize current contracts before any P0 component work","No duplicate component family; one data contract per visual primitive; existing tests preserved"
"15-second venue video","Place page media area","T8 / P1_DEFERRED","MISSING_AND_DEFERRED","Current video intake exists in VenueSubmissionForm/PropertyMediaUploader; no public short-video provenance carrier","Media rights; provenance; poster; duration/performance","MIGRATION_REQUIRED to canonical MediaAsset/provenance fields","HIGH: rights, advertising/editorial confusion, mobile performance","Do not implement in Gate 0","Provenance label; rights stored; poster/fallback; no autoplay sound; performance budget"
"Villa/hotel QR guest-guide demo","/villas; /hotels; /list-your-property; admin QR routes","B-track / P1_DEFERRED","PARTIAL_INFRASTRUCTURE_ONLY","app/villas/page.tsx; app/hotels/page.tsx; app/list-your-property/page.tsx; app/admin/(protected)/qr/*; source attribution events","Property identity; QR source; anonymous attribution; property contact; contextual route/page","MIGRATION_UNKNOWN; existing attribution_sources may be reusable","CRITICAL: new route/privacy/distribution contract","Do not implement in Gate 0; preservation and privacy design first","QR resolves to approved contextual carrier; property visible; editorial independence; contact fallback; anonymous attribution"
"Freshly checked public UI","PlaceCard/place page plus admin freshness","F-track / P1_DEFERRED","PARTIAL_DATA_NO_APPROVED_PUBLIC_LABEL","venues.last_verified_at; app/admin/(protected)/freshness/*; app/places/[slug]/page.tsx; lib/data.ts","What was checked; verified_at; verified_by/source; owner-confirmed state","MIGRATION_REQUIRED for field-level verification/what-checked unless canonical evidence model is supplied","HIGH: page edit misrepresented as verification","Do not implement label now; retain verified date only where evidence-backed","Date + scope + owner-confirmed state; never derived from page updated_at"
"QA row extensions","Admin freshness/data quality","F-track","PARTIAL","app/admin/(protected)/freshness/*; components/admin/freshness-model.ts; venue_photo_submissions; venue_onboarding_claims; perks/actions","media status/provenance; last checked; owner confirmed; action/offer/issue/claim status","MIGRATION_REQUIRED for missing issue/media provenance fields; mapping required for existing legacy fields","HIGH: duplicate fields/tables without Data Dictionary","Create field mapping only; no migration until schema owner and canonical docs approve","Every requested field maps to existing canonical field or approved migration; source/freshness/owner explicit"
"Public prohibited-claim scan","All public pages","T7/F-track","PARTIAL","scripts/wave2-product-boundary.test.mjs; scripts/wave3-product-boundary.test.mjs; lib/external-links.ts; publication tests","Claim rules; Maps URL classification; verified hours/actions","NONE for static scan","MEDIUM: false verified/open now/book now/resident-curated claims","Extend existing boundary tests in P0; first resolve resident-curated wording rule","Blocked phrases fail CI unless evidence contract satisfied; Maps search labelled search; booking only official"
"Analytics coverage from addendum","Existing /api/event and events table","T2/T4/T6/T9/F-track","PARTIAL","lib/analytics.ts; lib/actions/event-safety.ts; app/api/event/route.ts; supabase 0056 event allowlist","Consent; GuestRef; safe payload; canonical event naming/reporting","MIGRATION_REQUIRED for new allowlisted events; reporting migration required for renames","HIGH: renaming breaks reports; PII/event inflation","Map existing names first; add only missing issue/claim/QR/role-click events through approved migration","Existing events preserved; missing events versioned; no PII; analytics failure never blocks action"
