venue_id,name,area,discovery_areas,cuisine,category_guess,address,phone,whatsapp,email,website,instagram,opening_hours,booking_url,booking_provider,item_count,priced_count,primary_source_url,evidence_count,date_crawled
7458c91c6b277a22,Warung Sambal Locok,Ubud,Sanur Bali,Warung,warung,"Jl. Raya Uma, Tampaksiring, Kabupaten Gianyar",,,,https://remoteandafloat.com,,"24 hours a day, 7 days a week",,unknown,11,6,https://remoteandafloat.com/cheap-eats-in-sanur/,2,2026-08-25T12:55:02+00:00
659fd41017de5ec8,Chick-Fil-A,Los Angeles,Kuta Legian Bali,Fast Food,restaurant,"Sunset Boulevard, Los Angeles",,,,https://hayleyonholiday.com,,,,unknown,3,0,https://www.hayleyonholiday.com/legian-restaurants-bali/,2,2026-08-25T12:55:02+00:00
138844f12cd2400b,The ONE Legian Hotel,Legian,Kuta Legian Bali,"Urban Street Food, Asian, Western, International",restaurant,"Legian Kuta, Badung, Bali",,,,https://theonelegian.com,,Open until late every day,https://www.theonelegian.com/restaurants/,website_form,8,0,https://www.theonelegian.com/restaurants/,2,2026-08-25T12:55:02+00:00
9b6ee856b2e31fa4,Makan Place,Bali,Kuta Legian Bali,modern Indonesian,restaurant,Tucked in the heart of Bali,,,info@makanplace.com,https://makanplacebali.com,https://www.instagram.com/makanplace.bali/,"Open daily, 10AM - 11PM",mailto:info@makanplace.com,unknown,10,2,https://makanplacebali.com/,2,2026-08-25T12:55:02+00:00
6c5060686372d151,Kekeb Restaurant,Nusa Dua,Nusa Dua Bali,"Indonesian, Balinese, Seafood",restaurant,ITDC Area Nusa Dua,6281776699369,6281776699369,,https://kekebrestaurant.com,https://kekebrestaurant.com/food-menu-best-indonesian-food-and-balinese-food/#,"Monday to Sunday, including holidays",https://wa.me/6281776699369,whatsapp,10,0,https://kekebrestaurant.com/,2,2026-08-25T12:55:02+00:00
eaed0f808b3a46c1,Bali Untold,Bali,Nusa Dua Bali,Various,restaurant,"Bali, Indonesia",,,unknown,https://baliuntold.com,https://www.instagram.com/baliuntold/,N/A,unknown,unknown,7,4,https://baliuntold.com/food-and-drink/unusual-restaurants/,2,2026-08-25T12:55:02+00:00
406c56983f5ee79c,Santai Beach House,Nusa Dua,Nusa Dua Bali,International with local inspiration,restaurant,"Nusa Dua, Bali",6282144655103,6282144655103,,https://santaibeachbali.com,,7AM - 10.30PM,https://wa.me/6282144655103,whatsapp,25,0,https://santaibeachbali.com/dining-nusa-dua/,2,2026-08-25T12:55:02+00:00
df58e395563c5a9d,Jimbaran Seafood Dinner,Jimbaran,Jimbaran Bali,seafood,restaurant,"Jimbaran Beach, Bali",,6281339563400,,https://water-sports-bali.com,,,,whatsapp,3,3,https://www.water-sports-bali.com/jimbaran-seafood-dinner/,1,2026-08-25T12:55:02+00:00
fbe6e9c9fb87fa96,Made Bagus Cafe,Jimbaran,Jimbaran Bali,seafood,restaurant,Jimbaran Beach,,,,https://almostlanding-bali.com,,,,unknown,14,12,https://almostlanding-bali.com/jimbaran-seafood-eat/,2,2026-08-25T12:55:02+00:00
46f6bfca00859124,Cafes in Jimbaran,Jimbaran,Jimbaran Bali,"Seafood, Indonesian, International, Coffee",cafe,"Jimbaran, Bali, Indonesia",,,,https://banbanjara.com,,,,unknown,12,0,https://banbanjara.com/cafes-in-jimbaran?srsltid,1,2026-08-25T12:55:02+00:00
04863fb6dd750f64,Jimbaran,Jimbaran,Jimbaran Bali,seafood,restaurant,"Jalan Pantai Kedonganan, Jimbaran, Bali",,,,https://travelfish.org,,Mo–Su: 17:00–23:00,http://www.jimbaranbaybeach.com/restaurant/baruna-sky-lounge-restaurant-bar/,website_form,8,8,https://www.travelfish.org/eatandmeet/indonesia/bali/bali/jimbaran/eat,1,2026-08-25T12:55:02+00:00
aeb5537005ca26f5,Opia Bali,,Jimbaran Bali,"global, seasonal",restaurant,,,,,https://opiabali.com,,,https://cho.pe/Opiabali,custom,2,0,https://www.opiabali.com/menu,2,2026-08-25T12:55:02+00:00
20c5cf869c184ae8,Bella,Berawa,Berawa Canggu,contemporary Mediterranean & Middle Eastern,restaurant,Berawa,,,,https://bellacanggu.com,,Thursday to Sunday,https://www.sevenrooms.com/explore/bellacanggu/reservations/create/search/,unknown,3,0,https://bellacanggu.com/,2,2026-08-25T12:55:02+00:00
d10cef666df5d307,Pison Petitenget,Seminyak,Petitenget Seminyak,"Brunch, Coffee",cafe,"Petitenget St No.19A, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali 80361, Indonesia",,,,https://danielfooddiary.com,https://www.instagram.com/DanielFoodDiary,7am – 1am (Daily),,unknown,18,0,https://danielfooddiary.com/2025/11/05/pisonpetitenget/,2,2026-08-25T12:55:02+00:00
ac3a624fc769ca7a,menjamu,Seminyak,Petitenget Seminyak,Indonesian Cuisine,restaurant,"Seminyak, Bali",,62895332777369,,https://menjamu.com,https://www.instagram.com/menjamuseminyak/,Mon - Sun / 10 am - 10pm,https://wa.me/62895332777369,unknown,21,0,https://www.menjamu.com/,2,2026-08-25T12:55:02+00:00
7f905bce0d6b41d5,Fire Restaurant,Seminyak,Petitenget Seminyak,open-fire cooking,restaurant,"Seminyak, Bali",,,,https://firerestaurantbali.com,,,https://www.sevenrooms.com/reservations/firebali/fire-vanity-site,unknown,69,52,https://www.firerestaurantbali.com/our-menus,2,2026-08-25T12:55:02+00:00
859bc7a43fdcb738,myCHEF,Bali,Pererenan Bali,"Private Dining, Fine Dining",restaurant,Bali,,6289674072020,,https://mychef.id,,By appointment,https://wa.me/6289674072020?text=Hi%20myCHEF%2C%20I%27d%20like%20to%20book%20a%20tasting%20menu%20evening.%20Date%3A%20%20Guests%3A%20%20Villa%3A%20,whatsapp,3,3,https://mychef.id/locations/pererenan,1,2026-08-25T12:55:02+00:00
83bd539e87c02503,Newquay Brunch Spots,Newquay,Pererenan Bali,various,restaurant,"Newquay, Cornwall, England",,,,https://weareglobaltravellers.com,https://www.instagram.com/wheresmollie,,,unknown,13,0,https://weareglobaltravellers.com/2025/11/brunch-pererenan-bali/,1,2026-08-25T12:55:02+00:00
d184f29fe0f1fd28,Gather,Pererenan,Pererenan Bali,breakfast and brunch,restaurant,"Pererenan, Bali",628132001598,628132001598,hello@gatherbali.com,https://gatherbali.com,https://www.instagram.com/gather.bali/,7 days a week | 8.30 am - 5 pm,,unknown,33,0,https://gatherbali.com/,2,2026-08-25T12:55:02+00:00
6e4ea99ce827d868,NUI Healthy Food,Bali,Pererenan Bali,healthy food,restaurant,Pererenan,,,,https://makanmood.com,,Open now,https://makanmood.com/places/555-thai-pererenan,unknown,3,0,https://makanmood.com/areas/pererenan,2,2026-08-25T12:55:02+00:00
4b54ee3c26b084b1,Warung Sika,Canggu,Pererenan Bali,Indonesian,restaurant,"Jl. Tanah Barak No.45, Canggu",,,reservations@balivillaescapes.com.au,https://balivillaescapes.com.au,https://www.instagram.com/warung_sika/?hl=en,Unknown,,unknown,3,0,https://balivillaescapes.com.au/warungs-canggu/,1,2026-08-25T12:55:02+00:00
ead15945a2f98d28,Bennelong Restaurant,Sydney,Pererenan Bali,modern Australian,restaurant,Bennelong,,,,https://smh.com.au,,,https://masonrybali.com/canggu,unknown,6,0,https://www.smh.com.au/lifestyle/life-and-relationships/off-to-bali-these-school-holidays-reserve-a-table-at-these-new-dining-hotspots-20260611-p60609.html,2,2026-08-25T12:55:02+00:00
86ed2e9480a1a5cb,Uma Garden,Umalas,Umalas Bali,wood-fire,restaurant,"Umalas, Bali",,6282147369323,reservations@umagardenbali.com,https://umagardenbali.com,,Every Tuesday and Thursday,https://bookings.nowbookit.com/?accountid=ef96395c-825b-4544-a723-d82e6e7eec07&venueid=10128,website_form,5,0,https://umagardenbali.com/,2,2026-08-25T12:55:02+00:00
9a2fa1c6b356cf58,Villa Songket,Umalas,Umalas Bali,"Indonesian, International",restaurant,"Umalas, Bali",,,,https://villasongket.com,,,,unknown,6,0,https://www.villasongket.com/dining,1,2026-08-25T12:55:02+00:00
53006f114d35a086,Dua Umalas,Kerobokan,Umalas Bali,local and western,restaurant,"Jl. Umalas II No.88, Kerobokan Kelod, Bali",,,,https://duaumalas.shop,,,,whatsapp,9,0,https://duaumalas.shop/,2,2026-08-25T12:55:02+00:00
