internal_intent_id,canonical_name,entity_class,aliases,source_system,source_key,surface,proposed_parent_id,conflict_status,data_support_status,external_reconciliation_status,owner_decision_required
INTENT_FAMILY_OUTING,family outing,USER_JOB,"family;family-day;family-easy outing",intents_and_moments,family, /places Plan collections,INTENT_PLACE_DISCOVERY,OWNER_APPROVED_DISTINCT_PENDING_EXTERNAL,PARTIAL,NOT_RUN,Keep user job distinct from family-easy capability
INTENT_LOCAL_FOOD,local food choice,USER_JOB,"local-food;local cuisine;warung choice",intents_and_collections,local-food, /places collections,INTENT_PLACE_DISCOVERY,OWNER_APPROVED_DISTINCT_PENDING_EXTERNAL,PARTIAL,NOT_RUN,Do not alias to local-and-calm composite
INTENT_SUNSET_CHOICE,sunset choice,USER_JOB,"sunset;sunset spots;sunset drinks",intents_and_catalogue,sunset, /places SEO collections,None,CONFLICT,PARTIAL,NOT_RUN,Verify golden-hour usage before aliasing
INTENT_GOLDEN_HOUR,golden hour context,MODIFIER,"golden-hour;before sunset",catalogue_moments,golden-hour, /places filters,INTENT_SUNSET_CHOICE,CONFLICT,PARTIAL,NOT_RUN,Confirm modifier versus user job
INTENT_BRUNCH,brunch choice,USER_JOB,"brunch;hotel brunches",intents_and_seo,brunch, SEO and /places,INTENT_PLACE_DISCOVERY,PROPOSED,PARTIAL,NOT_RUN,Confirm hotel-brunches distinction
INTENT_CAFE_COFFEE,cafe or coffee choice,USER_JOB,"cafes-coffee;coffee stop",intents_and_seo,cafes-coffee, SEO and /places,INTENT_PLACE_DISCOVERY,PROPOSED,PARTIAL,NOT_RUN,Confirm category/cuisine boundary
INTENT_RESTAURANT_CHOICE,restaurant choice,USER_JOB,"restaurants;best restaurants;dining",intents_and_seo,restaurants, SEO and /places,INTENT_PLACE_DISCOVERY,PROPOSED,PARTIAL,NOT_RUN,Confirm broad versus scenario-specific restaurant jobs
INTENT_FIRST_DAY,first day orientation,TRIP_MISSION,"first-day;first-time-in-bali",trip_missions_and_scenarios,first-day, /plan /places editorial,INTENT_TRIP_PLAN,PROPOSED,PARTIAL,NOT_RUN,Approve mission ownership
INTENT_MONTH_IN_BALI,month in Bali,TRIP_MISSION,"bali-for-a-month;slow-living-bali",trip_missions_and_scenarios,bali-for-a-month, /plan editorial,INTENT_TRIP_PLAN,CONFLICT,PARTIAL,NOT_RUN,Resolve missing slow-living-bali source reference
INTENT_ROMANTIC_BALI,romantic Bali,EDITORIAL_SCENARIO,"romantic-bali;romantic trip",scenarios,romantic-bali, editorial and /places,INTENT_DATE_NIGHT,PROPOSED,PARTIAL,NOT_RUN,Confirm scenario-to-job parent
INTENT_RETREAT_RESET,retreat reset,EDITORIAL_SCENARIO,"bali-retreat-reset;retreat",scenarios,bali-retreat-reset, editorial and /places,INTENT_TODAY_DECISION,PROPOSED,PARTIAL,NOT_RUN,Confirm scenario-to-job parent
INTENT_SAVE_FOR_LATER,save place for later,USER_JOB,"save;My Bali;saved places",save_flow,save, venue detail and /api/save,None,PROPOSED,PARTIAL,NOT_RUN,Confirm save as user job versus action
INTENT_ADD_TO_TRIP,add place to trip,USER_JOB,"route-add;add-to-trip;trip day",trip_flow,route_add, venue detail /plan /api/trip,INTENT_TRIP_PLAN,PROPOSED,PARTIAL,NOT_RUN,Confirm relation to save
INTENT_SHARE_TRIP,share saved trip,USER_JOB,"shared list;shared trip",share_flow,shared-trip, /list and /plan/shared,INTENT_TRIP_PLAN,PROPOSED,PARTIAL,NOT_RUN,Confirm anonymous share scope
INTENT_REDEEM_OFFER,redeem confirmed offer,USER_JOB,"redeem;offer proof",redemption_flow,redeem, /v/[venue]/redeem,None,PROPOSED,PARTIAL,NOT_RUN,Keep redemption separate from discovery intent
CAPABILITY_WORK_FRIENDLY,work-friendly venue,VENUE_CAPABILITY,"work-friendly;wifi;laptop;sockets",venue_jobs_and_tags,work-friendly, venue fields and filters,None,OWNER_APPROVED_DISTINCT_PENDING_EXTERNAL,PARTIAL,NOT_RUN,Do not treat as user job
CAPABILITY_FAMILY_EASY,family-easy venue,VENUE_CAPABILITY,"family-easy;family friendly",venue_jobs_and_tags,family-easy, venue fields and filters,None,OWNER_APPROVED_DISTINCT_PENDING_EXTERNAL,PARTIAL,NOT_RUN,Do not treat as user job
CAPABILITY_LOCAL_AND_CALM,local-and-calm venue,VENUE_CAPABILITY,"local-and-calm;calm local",collections,local-and-calm, collections and venue fields,None,OWNER_APPROVED_DISTINCT_PENDING_EXTERNAL,PARTIAL,NOT_RUN,Do not treat as local-food alias
